PROJECT_ID,RISK_ID,RISK_TREATMENT_ID,RISKOWNERDISCIPLINEID,RISKTREATMENTTYPEID,PROPOSED_RISK_TREATMENT,COST_IMPACT_RISK_TREATMENT,SCHEDULE_IMPACT_RISK_TREATMENT,RECOMMENDED_BY_PDT,IMPLEMENTED,LOCKSTATUS,EDITDATE
3915,8,1,17,3,Mitigate Risk: Conduct hazmat surveys as soon as possible after SATOC Award to allow for better estimates and funding requests before funding delays can impact critical path. Include destructive testing and repairs into HAZMAT survey scope.,0,0,0,0,0,7-Jun-23
3913,16,1,17,1,1) Inform leadership and command. 2) Meeting with resource agencies. 3) Engagement with adjacent communities (regulatory actions). 4) Develop plan of action or scenario for sharing of available resources.,10000,30,1,0,0,13-Jun-23
3430,1,1,13,2,This risks is mitigated by adding the development of a FPMP and robust EO 11988 analysis aligned with the risk-informed planning,300000,0,1,1,0,8-Jun-23
3430,3,1,15,2,The PDT will utilize both HEC-FDA and TotalRisk to mitigate the potential for TotalRisk not being certified by TSP and help alleviate any concerns from technical reviews with the new model being utilized.,30000,0,1,1,0,8-Jun-23
3571,3,1,15,4,In Segment 2 conduct studies to verify NSI data for watershed scale study,50000,0,1,0,0,20-Jun-23
3571,4,1,13,4,Conduct a  robust outreach program during segment 2 of study.,50000,0,1,0,0,20-Jun-23
1664,11,1,13,4,Coordination within Agency to meet schedule milestones including completion of Class 3 Cost Estimates.,5000,0,0,0,0,7-Aug-23
3511,5,1,13,2,"Allocate in the scope, schedule and budget for a NED policy waiver package and coordination. 
",200000,120,1,0,0,7-Jul-23
1664,14,1,13,1,Avoid schedule delays by planning for absences early.,5000,0,0,0,0,7-Aug-23
3511,3,1,17,4,"Tight schedule will require tight managing and accountability from all team members. In addition, multiple decision points have been identified in the scope to minimize the potential for slips in the schedule.",50000,20,1,0,0,30-Jun-23
3511,2,1,17,5,"Risk surfaces as a result of SAD direction to pursue a smaller scope for the study. To mitigate some, the study team was included limited integration check-ins with the vertical team within the current scope of the study.",20000,15,1,1,0,30-Jun-23
3913,20,1,3,2,1) Identify locations of the materials through additional survey. 2) Identify sand borrow locations near the project that possesses few to none for the materials. 3) acquire special equipment to prevent dredging up tires and putting them on the beach.,500000,150,1,1,0,13-Jul-23
3511,6,1,15,2,"Allocate in the scope, schedule and budget for a total benefit plan waiver package and coordination.",200000,120,1,0,0,7-Jul-23
3913,5,1,3,1,"1. Consolidate existing data, 2. Identify new sand sources thorough geotechnical investigation, 3. Quantify available sand within inlets and 4.Identify potential off-shore deposits.  The risk should be addressed before ADM milestone:",100000,90,1,1,0,13-Jul-23
3913,19,1,3,1,"1) Coordination with PDT, senior leadership, resource agencies, and NFS to identify and avoid these hazards within proposed borrow sites. 2) Develop strategy to mitigate the impact of these hazards, if encountered.",50000,60,1,0,0,26-Jun-23
3913,7,1,1,1,1. Identify several contractors during market analysis and award to different contractor.  2. Look at internal support for the data collection. All actions about this risk should be addressed before the TSP and ADM milestones,50000,180,1,1,0,13-Jul-23
3913,8,1,3,2,"1. Develop sharing agreement on inlet borrow sources, 2. Location additional off-shore borrow sources.
All actions about this risk should be addressed before TSP and ADM study milestones",50000,90,1,0,0,13-Jul-23
3511,22,1,17,2,Plan for continuous and close engagement with stakeholders.,85000,30,1,0,0,17-Jul-23
3511,23,1,4,2,"Incorporate one sensitivity run for future rainfall intensification on the TSP. As part of the assurances of different the different alternatives design, the level of uncertainty evaluated for this aspect include rainfall.",25000,30,1,0,0,17-Jul-23
1664,12,1,13,1,"To meet schedule, WERP should be considered priority and team members to focus on major project components with minor adjustments being made between Draft and Final Report. ",5000,0,0,0,0,7-Aug-23
2969,17,1,13,4,"Once the team receives associated P&S and cross-sections we can make a more educated assumption moving forward and will update the RR accordingly.
2021-08-04 The likelihood of these parameters inaccurately representing our study are low and the consequences are low.
The PDT is assuming that the dune project are a ""temporary fix"" that is going to erode prior to our project start year.",0,0,0,0,0,17-Jul-23
2969,14,1,13,4,"Surveys needed during feasibility
2021-08-04 Ensures maximum sand borrow capacity and least impactful project footprint. If surveys not completed during feasibility, changing project design to mitigate impacts increases budget and time delays.",0,0,0,0,0,17-Jul-23
2969,15,1,4,4,"Continued coordination
2021-08-04 Following coordination within the modeling approach brief the team rated this as a medium risk.
The likelihood of these parameters inaccurately representing our study are low and the consequences are high, i.e. if we don't accurately represent the storm events and their relative probabilities we could be under/over representing the damages to our study area.",0,0,0,0,0,17-Jul-23
2969,16,1,4,4,"continued coordination
2021-08-04 following coordination within the modeling approach brief the team rated this as a low risk
The likelihood of these parameters inaccurately representing our study are low and the consequences are medium, i.e. if we don't accurately represent the shoreline change rate we could be under/over representing the damages caused by chronic background erosion to our study area.",0,0,0,0,0,17-Jul-23
2969,19,1,13,4,"The modeling team is actively working to fix this issue, meanwhile the team is conducting several briefings with leadership on the assumptions made for and path forward for North PV. Briefings with leadership on the assumptions made for and the path forward for North Ponte Vedra",0,0,0,0,0,17-Jul-23
2969,20,1,18,4,"ROM and RE cost estimates
Early detection of proposed alternative costs",0,0,0,0,0,17-Jul-23
2969,21,1,13,4,"Keep North Ponte Vedra in the study until FWP modeling and refined cost analysis is complete.
2022-06-03 By keeping North Ponte Vedra in the formulation process, the team will be conducting analysis as planned and budgeted for, and the decision to screen this segment or carry it forward will be supported by additional modeled data rather than economic, engineering and planning assumptions.
2022-06-03 It is anticipated that the decision on screening North Ponte Vedra will be mad at or immediately prior to the TSP milestone.",0,0,0,0,0,17-Jul-23
3911,25,1,4,2,"On time delivery.
",0,0,0,0,0,10-Aug-23
4072,9,1,17,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,15-Aug-23
4111,8,1,17,2,Frequent communication with USACE employees to promote understanding of project's current budget. Possibly reduce Sponsor's reimbursement ,1,1,0,0,0,23-Aug-23
4112,1,1,17,2,Frequent communication with Sponsor to promote understanding of next steps of the project and requirements to bid construction contract,1,1,0,0,0,23-Aug-23
4112,2,1,17,2,Frequent communication with sponsor to understand Sponsor's time to begin design or construction work,1,1,0,0,0,23-Aug-23
4112,4,1,17,4,Frequent communication with sponsor to understand Sponsor's time to source additional funding or required materials,1,1,0,0,0,23-Aug-23
4112,5,1,17,1,Communicate with sponsor to promote understanding of steps required for a PPA Amendment. Encourage in-scope change.,1,1,0,0,0,23-Aug-23
2847,5,1,13,1,"Coordinate water quality policy to determine cost-sharing potential early with the vertical team. If cost-sharing is not available, WW reuse may not be considered as an alternative.",10000,0,0,0,0,23-Aug-23
2847,5,2,13,1,Coordinate with Miami-Dade County on their ability to complete WW treatment in the time and volume needed for ecosystem restoration.,10000,30,0,0,0,23-Aug-23
2847,6,1,13,1,"Run alternatives on multiple SLR scenarios in order to find the ones that best maintain level of service for the longest duration.
",5000,0,0,0,0,23-Aug-23
3544,19,1,11,4,do nothing,0,0,0,0,0,26-Jun-23
3511,25,1,4,2,"Team will continuously look at how the project performs under large surge events that would be associated with High SLC plus surge frequency. This assessment may influence plan selection or refinement of plans during the initial rounds of modeling. All three SLC curves will be simulated for the TSP, and refinements and/or adaptation strategies will be included.",50000,45,1,0,0,18-Jul-23
3911,8,1,16,6,"Conduct fall survey to capture fall migrant data.
",0,0,0,0,0,20-Jul-23
2969,4,1,13,3,Alternatives milestone meeting scheduled for 90 days from receipt of funds rather than 90 days from signing of FCSA,0,21,1,1,0,31-Jul-23
1241,12,1,13,4,Risk management strategies included updated cost for ASR technology in the revised PIR/EIS (first cost and/or contingency).,0,0,0,0,0,31-Jul-23
2969,3,1,13,4,Include VT and PDT in discussions on study area and scope early on.,0,0,1,1,0,31-Jul-23
2969,3,2,13,4, Identification of study area and scope of project from FCSA and study Authority.,0,0,1,1,0,31-Jul-23
2969,5,1,15,1,"Previous data will be verified prior to use, and used as a supplemental source to new data",0,0,1,1,0,31-Jul-23
2969,12,1,16,4,"Study area may be reduced to exclude CBRA OPA
2021-07-29 Risk updated to Low Risk",0,0,0,0,0,17-Jul-23
3911,11,1,11,4,"If concerns with surveys/data present themselves, seek support with SARA.",0,0,0,0,0,3-Aug-23
3911,18,1,4,4,"Place the pools, riffles, and runs into the model now.  ",0,0,0,0,0,9-Aug-23
3911,12,1,4,1,On time delivery.,0,0,0,0,0,3-Aug-23
3911,16,1,4,1,"Request survey of the study area. 
",0,0,0,0,0,9-Aug-23
3911,17,1,4,4,Civil Design completes the measured quantities.,0,0,0,0,0,9-Aug-23
3911,19,1,4,1,Design of the hydraulic model is based on this criteria.,0,0,0,0,0,9-Aug-23
4051,6,1,17,4,"Frequent communication with sponsor to understand Sponsor's time to source additional funding or required materials
",1,1,0,0,0,9-Aug-23
4051,7,1,17,1,"Frequent communication with Sponsor to promote understanding of extended timeline required for claiming LERRDs crediting
",1,1,0,0,0,9-Aug-23
4051,8,1,17,1,"Communicate with sponsor to promote understanding of steps required for a PPA Amendment. Encourage in-scope change.
",1,1,0,0,0,9-Aug-23
3993,8,1,12,4,Allocate schedule amortization contingency to accommodate.,50000,60,0,0,0,24-Jul-23
3911,34,1,3,2,Risk could be reduced by collecting soil/groundwater samples early in the project phase.  Good engineering judgment and contingencies can also be used to reduce risk.,0,0,0,0,0,11-Aug-23
3911,36,1,18,2,Early knowledge of utility relocations ,0,0,0,0,0,11-Aug-23
2625,1,1,17,4,"Numerous meetings were held with the non-federal sponsors and key stakeholder including conducting a planning charette, small group workshop with over 40 stakeholders, presentations at multiple organizations, meetings with the advisory committee, and numerous meetings with key stakeholder groups. The Project Management Plan was developed in partnership with the non-federal sponsors and approved. ",0,0,1,1,0,21-Aug-23
4111,3,1,17,2,"Frequent communication with Sponsor to promote understanding of next steps of the project and requirements to bid construction contract

",1,1,0,0,0,23-Aug-23
2847,6,2,13,4,Miami-Dade county or the State of Florida and USACE may change operations of the current system (including features built from the BBSEER selected plan) in the future.,10000,60,0,0,0,23-Aug-23
2065,7,1,13,1,"Utilize Virginia DMMA, i.e., adopt the minimization measures (construction methodologies that reduce spillage/turbidity).",20000,0,0,0,0,25-Aug-23
2065,7,2,13,1,DMMA on Virginia Key with overflow outfall pipe following WWTF pipeline corridor to deep water.,20000,0,0,0,0,25-Aug-23
2065,8,1,13,1,Run four design vessels in ship simulation to minimize uncertainties.,0,0,0,0,0,25-Aug-23
2065,8,2,13,1,Conduct a 2nd ship simulation and coordination with Port and Pilots to ensure footprint is acceptable.,5000,0,0,0,0,25-Aug-23
2065,8,3,13,1,Assume the 14K TEU vessel is the with-project condition vessel to start economic analysis with in HarborSym.,5000,0,0,0,0,25-Aug-23
2065,4,1,13,1,"Inform decision-making with respect to dredging scope and method with results from sediment transport analysis. 
",5000,30,0,0,0,24-Aug-23
2065,4,2,13,1,"Coordinate with resource agencies on improved dredging scope and methodologies; Improved monitoring, accept independent monitoring, use study results from others (e.g., NOAA study).",5000,30,0,0,0,24-Aug-23
2065,4,3,13,1,Incorporate an adaptive mgmt. plan that is informed by studies done by others and lessons learned.,5000,30,0,0,0,24-Aug-23
2065,4,4,13,1,Punch Barge in combination with other dredge techniques (may not be cost effective).,50000,0,0,0,0,25-Aug-23
2065,4,5,13,1,Hydraulic Hammer (may not be cost effective).,50000,0,0,0,0,25-Aug-23
2065,4,6,13,1,"Deflagration (continuing to investigate testing, specifically in S. Africa but waiting on funding to be resolved-need 40K, PM investigating options per 14JAN20).",5000,0,0,0,0,25-Aug-23
2065,4,7,13,1,"Direct pumping of cutterhead discharge into DMMA, deep water, or ODMDS (sent letter to sponsor in early January20, PTL holding coordination meeting with sponsor and City on 15JAN20 about DMMA on V. Key to get sponsor answers on what they need to designate lands before TSP). ",5000,0,0,0,0,25-Aug-23
2065,4,8,13,1,"Discussed punch/HH at ERDC, in late August, currently following up with Christa Woodley and PM about data and opportunities for future projects and possibility of collecting that acoustic data.",5000,0,0,0,0,25-Aug-23
2065,4,9,13,1,After Port Everglades decisions are made about blasting hold a possible industry day to determine what industry can/cannot do w/ respect to utilizing DMMA and pumping offshore.,5000,0,0,0,0,25-Aug-23
2065,10,1,13,1,Continue to have the advocate that senior leadership discuss the issue with Port of Miami Director and create a path forward that will give the PDT and quantifiable impact so that the improvement project isn't delayed.,5000,0,0,0,0,25-Aug-23
2065,10,2,13,1,"Contract out Statistician (100% sponsor funded) to validate one of the following, a) 3rd party study ($250k approx.); b) DC ($200k approx.); c) all Raw data ($500k approx.).",0,21,0,0,0,25-Aug-23
3911,4,1,11,1,Refine unknown with greatest consequence ratings to reduce risk.,0,30,0,0,0,29-Jun-23
3511,8,1,13,2,Team is considering all components to flooding and formulating for one sea level curve. Additional curves projections will be considered for the TSP only  in order to propose adaptation measures.,500000,365,1,0,0,7-Jul-23
3511,8,2,13,2,Active communication with stakeholders and counties at leadership level.,100000,30,1,0,0,7-Jul-23
3511,9,1,13,4,Incorporate a sensitivity run in the scope to allow analysis on compatibility/integration with other planning studies was the team's original recommendation but scope has been reduced just to a minimal qualitative integration effort between other Federal water resources projects in the area.,300000,120,1,0,0,7-Jul-23
3511,11,1,4,4,Include conservative estimates.,300000,180,1,0,0,7-Jul-23
3511,26,1,9,2,Include conservative estimates for study cost and schedule.,50000,25,1,0,0,18-Jul-23
2969,18,1,18,4,Continued coordination,0,0,0,0,0,17-Jul-23
3511,29,1,9,2,Conservatives ROMs and data research.,60000,45,1,0,0,18-Jul-23
3511,27,1,4,2,Coordinate assumptions at all levels. IPR/workshop with VT prior modeling starting date.,50000,30,1,0,0,18-Jul-23
3511,28,1,18,2,Coordinate RE contingency across levels.,50000,45,1,0,0,18-Jul-23
3511,31,1,13,2,"Study team will be able to describe the magnitude of the compound flooding, how much the proposed TSP might reduce flood risk and how much residual risk would be remaining.",100000,120,1,0,0,18-Jul-23
3511,32,1,9,2,Technically feasible criteria was added to the formulation strategy.,45000,15,1,0,0,18-Jul-23
3511,33,1,13,2,"PDT will set multiple engagements with stakeholders at the State, Federal, County and local level as well as the Tribal Nations and members of the public throughout the study process.",10000,60,1,0,0,18-Jul-23
3511,37,1,9,2,Account in scope for PED to request of utility survey.,0,0,1,0,0,18-Jul-23
3511,38,1,9,2,Allow for time and funding in the scope to look for exiting corresponding info.,50000,30,1,0,0,18-Jul-23
3511,39,1,14,2,Use existing information and best professional judgement including local knowledge.,30000,60,1,0,0,18-Jul-23
3511,40,1,14,2,Use existing information and best professional judgement including local knowledge.,40000,30,1,0,0,18-Jul-23
3511,41,1,17,2,Coordinate across all levels and keep check ups with VT through IPRs on progress.,40000,30,1,0,0,18-Jul-23
3911,7,1,16,2,Cycle each observer through each creek or reference reach during the course of the sampling season so that each observer samples each creek with the same effort.  Rotate data collection personnel with avian observers.   Utilize the same observers and recorders when possible.,0,0,0,0,0,20-Jul-23
3992,2,1,22,2,Minimalist alternative developed to try to identify low cost alternatives that still provide benefit.,0,0,0,0,0,19-Jul-23
3992,3,1,15,2,Active communication and engagement with NFS to fully define potential commercial benefits,0,10,0,0,0,19-Jul-23
3911,9,1,13,2,Consistently work in tandem with environmental planners to keep recreation plans current to scope/appropriateness.,0,0,0,0,0,20-Jul-23
1664,1,1,13,1,"Continued communication, coordination and consultation with Tribal staff and leadership. Extensive efforts have occurred and will continue.",100000,0,1,1,0,21-Jul-23
3971,2,1,16,1,"Request an ESA/MMPA Policy Waiver to extend ESA/MMPA compliance into PED. Application process takes up to 5-8 months upon complete application to complete for Incidental Harassment Authorization (IHA) and 9-15 for a Letter of Authorization (LOA). The ESA Section 7 consultation process is not initiated until ITA is through public comment period and then has 135 days to be completed by NMFS/USFWS. If certain information is not available in time to complete necessary consultations, then there is risk of schedule delay in PED but not in feasibility,",0,0,1,0,0,3-Aug-23
3971,6,1,16,2,"Mitigation will be required in order to address environmental impacts to habitat and/or species that would be impacted by the action alternatives in order to reduce risk of strong aversion from the community. Appropriate permits will be required depending on severity, timing, and location of impacts to specific resources.  Budget and schedule impacts fully depend on the alternatives. Current schedule and budget was based on current array of alternatives, thus response method should not increase nor decrease scope.",0,0,1,0,0,3-Aug-23
3971,8,1,4,2,"Based on modeling data, modify concept/design of alternatives to mitigate impact to sediment circulation (e.g., sediment/aquatic organism passage, shape of break waters, etc). ",1,1,0,0,0,3-Aug-23
3971,9,1,17,2,"Conduct Sediment/Chemical Analysis during Geotechnical Investigations. This will add additional analysis requirements and collection of additional material for such analysis. This should only result in costs for additional collection and analysis. Budget already takes additional sample/lab costs into account, so there should be no increase to proposed budget.",0,0,0,0,0,3-Aug-23
3971,9,2,17,2,Conduct preliminary grab samples with geotechnical work to inform PED sampling requirements. Analysis should already be included into the budget.,0,0,0,0,0,3-Aug-23
1241,3,1,13,1,"Weekly follow ups with members of the vertical team. Coordination has begun for the 3x3x3 Exception with the vertical team (SAD & HQUSACE) prior submitting the exception package.
",5000,0,1,0,0,27-Jul-23
3971,9,3,17,2,Conduct grab sampling efforts in house to gain preliminary data to inform PED sampling efforts. Budget coveres additional analysis.,0,0,1,0,0,3-Aug-23
1241,5,1,13,4,Include contingency in 2023 (4th) 3x3x3 exception request (implemented).,5000,0,0,1,0,27-Jul-23
1241,6,1,13,1,"Obtain more information during PED to better address some tribal concerns, such as cultural surveys and listed species surveys. STOF has stated that more information/surveys will not assuage their concerns. ",5000,0,0,0,0,31-Jul-23
1241,6,2,13,1,Removal of the WAF.,5000,0,0,0,0,31-Jul-23
3913,9,1,16,1,Complete normal coordination with resource agencies.,0,0,1,0,0,12-Jun-23
3511,14,1,3,4,Include conservative estimate,45000,60,1,0,0,7-Jul-23
3971,9,4,17,2,Request a policy waiver to defer CWA 404(b)(1) and 401 WQC to PED when data is available to inform sampling efforts required to sufficiently characterize the dredge prism.,0,0,1,0,0,3-Aug-23
1241,7,1,13,1,Exploratory well planned for each well cluster during construction.,20000,0,0,0,0,31-Jul-23
1241,7,2,13,1,Water quality monitoring during operations.,5000,0,0,0,0,31-Jul-23
3993,6,1,16,2,Coordinate with IL DNR and NPS,20000,30,0,0,0,24-Jul-23
3993,7,1,3,1,"General expectation is the toe will be consrtucted on this bench at the river's edge, not in the center of the river. May be possile there are areas where the horizontal benich is not sufficient and we need to construct into the river to construc a proper toe.",5000,90,0,0,0,24-Jul-23
4072,2,1,17,4,Low risk item therefore no risk reduction measure identified. ,0,0,0,0,0,15-Aug-23
1664,3,1,13,1,SFWMD written commitment to address WQ in West Feeder Basin.,5000,0,1,1,0,24-Jul-23
1664,3,2,13,1,"Weekly check in with SES and Leaders from SAD, SAJ, SFWMD, FDEP, and PDT to track progress and make ""real time"" decisions. ",5000,0,1,1,0,24-Jul-23
1664,3,3,13,1,Frequent meetings with SFWMD and FDEP to acquire necessary details for Draft Report.,5000,0,1,1,0,24-Jul-23
1664,3,4,13,2,"Include adaptive measure to offer additional Phosphorous removal in addition to state's actions. (i.e., build another treatment facility, chemical based treatment). ",10000000,60,0,0,0,24-Jul-23
1241,7,3,13,1,"ASR Science Plan to address uncertainties brought up by National Academy of Sciences.
",5000,0,0,0,0,31-Jul-23
1241,8,1,13,4,Surveys during PED.,5000,0,0,0,0,31-Jul-23
1241,8,2,13,4,High project contingency for additional resource agency consultation.,0,0,0,0,0,31-Jul-23
1241,8,3,13,4,"Additional monitoring requirements.
",5000,0,0,0,0,31-Jul-23
1241,9,1,13,1,"Risk management measures included an ASR phased implementation approach.
",0,0,0,0,0,31-Jul-23
1664,8,1,13,1,Targeted level of detail surveys in publicly owned lands for medium cost. Achieves compromise between tolerable uncertainty and tolerable cost. Estimated cost for this effort was about $300k in 6 months. Developing a programmatic agreement with the tribes with the SHPO for future investigations during PED. ,5000,30,1,0,0,24-Jul-23
1664,9,1,13,1,Targeted validation surveys + consultation.,5000,0,1,0,0,24-Jul-23
1241,10,1,13,1,Risk management measures included an ASR phased implementation approach.,0,0,0,0,0,31-Jul-23
2969,8,1,13,4,"Early coordination with Vertical Team modeling personnel. During initial discussion with the VT, the study team made the decision to move forward with SBEACH as there has been success in Florida studies. The modeling team is continuing coordination with the VT as the model build progresses 2021-08-02 Following coordination within the modeling approach brief the team revised the risk rating from low to medium.",0,0,1,1,0,1-Aug-23
2969,10,1,15,4,"The team will employ either low-effort GIS tools or the BeachFx backbay tool to identify backbay shoreline elements that will not enjoy damage reduction from structural measures constructed along the ocean facing beach due to additional flooding from the backbay, and demonstrate that separate structural or non-structural measures are not justified to protect the limited structures. If the GIS or BeachFx analysis determines that the backbay is causing significant impacts to the coastal protected assets then G2CRM may be needed, which would significantly increase study scope.
2021-05-25 Backbay flooding will be considered anywhere there may be overlap with damage from ocean facing shoreline 2021-08-02 Following coordination within the modeling approach brief on the team revised the risk rating from low to medium.  Low-effort GIS tools or the BeachFx backbay tool will be used to identify backbay shoreline elements that will not enjoy damage reduction from structural measures constructed.
",0,0,0,0,0,17-Jul-23
3511,1,1,13,2,"Include in the scope of the study time and funding for a sensitivity run that considers the integration of other water resources studies in the area.
",50000,45,1,0,0,24-Feb-23
3971,4,1,16,2,"If the group runs as it is proposed, it will be beneficial to the project as it will facilitate information/data gathering and sharing of experience from the community. However, the establishment of this group is mainly to proactively address aversion from the community early on in the process. ",60000,0,0,1,0,21-Jul-23
3911,13,1,4,1,QC on the model assuring this remain true and consistent.,0,0,0,0,0,7-Aug-23
3971,10,1,16,2,Preemptively add Sunflower Sea Star in consultation processes conducted with NMFS. ,0,0,1,0,0,3-Aug-23
1664,15,1,13,1,"Thorough documentation of effectiveness of NFSTA, as shown in models produced by engineering, to gain vertical alignment regarding NFSTA inclusion in TSP. ",5000,0,0,0,0,7-Aug-23
3911,21,1,4,4,Adjust the existing conditions models with with corrections for comparison purposes only.  The final models during the design phase of the project could show differences from the original FEMA models.,0,0,0,0,0,9-Aug-23
3911,22,1,4,2,Adjust the existing conditions models with corrections for comparison purposes only.  The final models during the design phase of the project could show differences from the original FEMA models.,0,0,0,0,0,9-Aug-23
4051,3,1,17,4,"Frequent communication with sponsor to understand Sponsor's time to begin design or construction work
",1,1,0,0,0,9-Aug-23
4051,4,1,17,2,"Early coordination with Sponsor to request necessary information for the US FWS review
",1,1,0,0,0,9-Aug-23
1664,16,1,13,1,Frequent coordination between involved parties to develop the planning targets required to evaluate proposed natural connection and move project forward.,10000,0,0,0,0,11-Aug-23
3911,30,1,9,2,"Risk could be reduced by placing higher contingencies for cut/fill quantities.
",0,0,0,0,0,11-Aug-23
3911,37,1,18,2,Early detection of project features importation,0,0,0,0,0,11-Aug-23
3911,40,1,18,2,"Define specific work on the TXDOT ROW early.  Check on any existing agreements TXDOT have with the City of San Antonio for O&M purposes in the creeks.  Early detection of instruments required from TXDOT in their road ROW.
",0,0,0,0,0,14-Aug-23
4072,5,1,17,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,15-Aug-23
4072,11,1,1,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,15-Aug-23
4072,10,1,1,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,15-Aug-23
4072,12,1,17,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,15-Aug-23
3511,30,1,13,2,Study team will qualitatively describe potential WQ and WS impacts using the event based H&H tools proposed for the study.,60000,45,1,0,0,18-Jul-23
1664,10,1,13,1,Accelerated Approval,5000,0,1,0,0,24-Jul-23
3911,15,1,4,4,Tolerate the risk.,0,0,0,0,0,9-Aug-23
3911,20,1,4,4,Prevent the 1% chance flood elevation from rising.,0,0,0,0,0,9-Aug-23
4051,2,1,17,2,"Frequent communication with Sponsor to promote understanding of next steps of the project and requirements to bid construction contract
",1,1,0,0,0,9-Aug-23
4072,6,1,17,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,15-Aug-23
4072,7,1,17,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,15-Aug-23
4072,13,1,3,1,"For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,15-Aug-23
4072,14,1,12,2,"For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,15-Aug-23
4072,15,1,12,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,15-Aug-23
4072,16,1,17,2,"For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",436477,0,0,0,0,15-Aug-23
4072,18,1,16,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,15-Aug-23
4071,2,1,17,4,Had to be accepted due to receipt of 1st quarter FY 23 funds allowing the team to start.  FCSA was signed 04 NOV 22 and funds were not received until 08 DEC 22 resulting in a delay of 30 days for fulling starting the studying and pushing back the AMM.  ,0,30,0,1,0,16-Aug-23
4071,40,1,4,1,"Due to the size of the parish, the PDT has determined that the current level of detail is acceptable.",0,0,1,1,0,21-Aug-23
4072,24,1,3,4,"For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-Aug-23
4072,25,1,3,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,17-Aug-23
4072,26,1,3,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,17-Aug-23
4072,27,1,3,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,17-Aug-23
4072,28,1,3,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,17-Aug-23
4072,29,1,16,2,"For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-Aug-23
4072,30,1,18,1,"For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-Aug-23
4072,31,1,14,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,17-Aug-23
4072,32,1,16,4,"For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-Aug-23
4072,33,1,16,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,17-Aug-23
4072,34,1,21,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,17-Aug-23
4072,35,1,17,4,"For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-Aug-23
4072,36,1,17,2,"For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-Aug-23
4072,37,1,18,2,"For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-Aug-23
4072,38,1,18,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,17-Aug-23
4072,39,1,18,4,Low risk item therefore no risk reduction measure identified.,0,0,0,0,0,17-Aug-23
4072,40,1,17,2,"For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-Aug-23
4072,41,1,17,4,"For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-Aug-23
4072,42,1,12,2,See REF 24.,0,0,0,0,0,17-Aug-23
4072,43,1,21,2,"For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-Aug-23
