RISK_ID,RISK_IDENTIFIER,PROJECT_ID,PROJECT_NAME,USACE_ORGANIZATION,P2_PROGRAM_CODE,P2_NUMBER,DISTRICT_CODE,RISK_NAME,RISKCATEGORY,RISKCATEGORYID,RISK_STATEMENT,PROB_OCCURRENCE,LIKELIHOOD,LIKELIHOOD_DESC,PROB_OCCURRENCE_EVIDENCE,OCCURRENCECONFIDENCEID,RISKOWNERDISCIPLINEID,DISCIPLINE,DISCIPLINE_ACRONYM,RISKMANAGERID,RISK_MANAGER,PERFORMANCEIMPACTTYPEID,PERFORMANCEIMPACT,PERFORMANCEIMPACT_DESC,PERFORMANCEIMPACT_IMPCT,PERFORMANCE_IMPACT_DESC,PERFORMANCEIMPACT_RISK_RANKING,PERFORMANCE_RANK_DESC,COST_IMPACT_LOWEST,COST_IMPACT_MOSTLIKELY,COST_IMPACT_HIGHEST,COST_IMPACT_EVIDENCE,COST_RISK_RANKING,COST_RANK_DESC,SCHEDULE_IMPACT_LOWEST,SCHEDULE_IMPACT_MOSTLIKELY,SCHEDULE_IMPACT_HIGHEST,SCHEDULE_IMPACT_EVIDENCE,SCHEDULE_RISK_RANKING,SCHEDULE_RANK_DESC,RISKSTATUSID,ID,RISKSTATUS,PROJECTPHASEID,LIFECYCLEPHASENAME,PROJECTMILESTONEID,MILESTONE,EDITDATE,LOCKSTATUS,USER_ID,ENTERED_BY_USER,COST_IMPACT_DISTTYPE,COST_IMPACT_DISTDESC,SCHEDULE_IMPACT_DISTTYPE,SCHEDULE_IMPACT_DISTDESC,NO_PERFORMANCE_IMPACT,NO_PERFORMANCE_IMPACT_TEXT,NO_COST_IMPACT,NO_COST_IMPACT_TEXT,NO_SCHEDULE_IMPACT,NO_SCHEDULE_IMPACT_TEXT
2,EHH-2,3571,"Boston Metropolitan Area, MA",New England District(NAE),,,NAE,Sea Level Change,Info and Data Analysis,1,"Uncertainty in the rate at which sea level change will occur.

",3,Likely,Likely (50% to 70%),SLC rates,,4,Engineering - Hydrology and Hydraulics,EHH,249,Barbara Blumeris,8,Agency Strategy,Study will look at different amounts of SLC.,5,Minor Problem,2,Low,0,0,0,,0,No Risk,0,0,0,,0,No Risk,1,1,Active,3,Planning,27,Recommendation,20-Jun-23,0,249,Barbara Blumeris,299,Point Distribution,299,Point Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,1,Schedule Impacts Anticipated
3,PLE-3,3571,"Boston Metropolitan Area, MA",New England District(NAE),,,NAE,Benefit Calculation,Info and Data Analysis,1,"large study area, reliance on NSI, may introduce error,

",2,Unlikely,Unlikely (30% to 50%), In Segment 2 conduct studies to verify NSI data for watershed scale study.,,15,Planning - Economics,PLE,8274,Barbara Blumeris,1,Asset Condition,"Minor as watershed study, guidance indicated acceptable to rely on exiting information.,",5,Minor Problem,2,Low,0,50000,0,professional judgment,2,Low,0,0,0,,0,No Risk,1,1,Active,3,Planning,27,Recommendation,20-Jun-23,0,249,Barbara Blumeris,299,Point Distribution,299,Point Distribution,0,No Performance Impact,0,No Cost Impact,1,Schedule Impacts Anticipated
4,PLP-4,3571,"Boston Metropolitan Area, MA",New England District(NAE),,,NAE,Stakeholder buy-in,"Stakeholder, Sponsor or Partners",9,"Stakeholder buy in as stakeholder points of view may vary.
",2,Unlikely,Unlikely (30% to 50%),Outreach conducted  for the shared Vision milestone,,13,Planning - Plan Formulation,PLP,249,Barbara Blumeris,5,Other,May need to extend schedule to achieve buy-in on strategies to reduce coastal flood risk.,5,Minor Problem,2,Low,0,0,0,,0,No Risk,0,100,0,may take longer than scheduled to reach consensus in the regional plan,2,Low,1,1,Active,3,Planning,27,Recommendation,20-Jun-23,0,249,Barbara Blumeris,299,Point Distribution,299,Point Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,0,No Schedule Impact
5,PLP-5,3571,"Boston Metropolitan Area, MA",New England District(NAE),,,NAE,Study will rely on concept level design,Info and Data Analysis,1,"Study will rely on concept level design of strategy features at the 10 to 30 percnet design level, introduces uncertainty in effectivness and feasibility of propsed strategies
",2,Unlikely,Unlikely (30% to 50%),Design level to be perfomed for study known to participants.,,13,Planning - Plan Formulation,PLP,249,Barbara Blumeris,5,Other,Level of design of meausres may create minor problems in developing strategies.,5,Minor Problem,2,Low,0,0,0,,1,Opportunity,0,0,0,,0,No Risk,1,1,Active,3,Planning,27,Recommendation,20-Jun-23,0,249,Barbara Blumeris,299,Point Distribution,299,Point Distribution,0,No Performance Impact,0,No Cost Impact,1,Schedule Impacts Anticipated
6,PLP-6,3571,"Boston Metropolitan Area, MA",New England District(NAE),,,NAE,"Political Priorties at Fedeal, State and local levels","Stakeholder, Sponsor or Partners",9,"Political Priorties at Fedeal, State and local levels may  vary and change over time.",3,Likely,Likely (50% to 70%),,,13,Planning - Plan Formulation,PLP,249,Barbara Blumeris,5,Other,"Varying priorites across  jurisdictions, Federal. State, local will need to be recognized in development of the regional plan.",5,Minor Problem,2,Low,0,0,0,,0,No Risk,0,0,0,,0,No Risk,1,1,Active,3,Planning,27,Recommendation,20-Jun-23,0,249,Barbara Blumeris,299,Point Distribution,299,Point Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,1,Schedule Impacts Anticipated
7,PLN-7,3571,"Boston Metropolitan Area, MA",New England District(NAE),,,NAE,Strategy Development - environmental risk,Site Conditions,6,Presence of T&E species and areas of critical environmental concern may limit solutions.  ,3,Likely,Likely (50% to 70%),,,16,Planning - Environmental,PLN,249,Barbara Blumeris,5,Other,Study completion = other,5,Minor Problem,2,Low,0,0,0,No cost impact identified at this time..,1,Opportunity,0,40,0,Could lengthen time to find identify acceptable. solutions.,2,Low,1,1,Active,3,Planning,27,Recommendation,17-Oct-23,0,249,Barbara Blumeris,299,Point Distribution,299,Point Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
4,EHH-4,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Inaccurate Floodplain for Formulation and Economic Analysis,Info and Data Analysis,1,NACCS uses save points throughout Boston Harbor and interpolates those data points across the terrain showing a 1D result of where the water ends up and incorporates SLC at the first year and the last year in the G2CRM planning model.  Will the model provide accurate depiction of the floodplain extents and flood pathway entry point for formulation and economic analysis?,3,Likely,Likely (50% to 70%),"Without specific refinement, and updating the storm suite, it is likely that the model will not accurately reflect extra-tropical events, nor will it have the refined mesh to depict an accurate floodplain over a 100-year planning horizon.",,4,Engineering - Hydrology and Hydraulics,EHH,3630,Jeffrey Herzog,5,Other,An inaccurate floodplain could result in reformulation; significant redesign; post-authorization in the future.,10,,3,Medium,0,0,0,,0,No Risk,0,0,0,,0,No Risk,1,1,Active,4,Planning,3,Tentatively Selected Plan,24-Mar-23,0,4490,Jeffrey Herzog,299,Point Distribution,299,Point Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,1,Schedule Impacts Anticipated
5,PLE-5,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,ECONOMIC DAMAGES IN THE FUTURE WITHOUT PROJECT CONDITION,Info and Data Analysis,1,,3,Likely,Likely (50% to 70%),,,15,Planning - Economics,PLE,2495,Jeffrey Herzog,5,Other,,5,Minor Problem,2,Low,0,0,0,,0,No Risk,0,0,0,,0,No Risk,1,1,Active,4,Planning,3,Tentatively Selected Plan,29-Mar-23,0,4490,Jeffrey Herzog,299,Point Distribution,299,Point Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,1,Schedule Impacts Anticipated
6,EHH-6,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Climate Change Impacts to Floodplain,Info and Data Analysis,1,"In a dense urban environment with significant tide swings (+9 feet) differences between water surface elevations and floodplains within each curve are significant.  Over a 50-year period of economic analysis and a 100-year planning horizon, the impacts of SLC in the study area are also significantly different. The impacts can influence comprehensive benefits analysis; critical resource impacts; as well as impacts to natural resources.  ",4,Very Likely,Very Likely (70% to 90%),There is a significant difference in preliminary curves at the low/intermediate/ and High SLC scenarios.  It is likely that the formulation will change depending on the accuracy of the FWOP floodplain at both the 50-year and 100-year horizons.  50-year for quantitative analysis and 100-year for qualitative analysis.,,4,Engineering - Hydrology and Hydraulics,EHH,3630,Jeffrey Herzog,3,Human Health and Safety,"Depending on the model setup conditions and input criteria, the floodplains could understate the risk while still being policy compliant.",10,,4,High,0,0,0,,0,No Risk,0,0,0,,0,No Risk,1,1,Active,4,Planning,3,Tentatively Selected Plan,1-Mar-23,0,4490,Jeffrey Herzog,299,Point Distribution,299,Point Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,1,Schedule Impacts Anticipated
7,PLN-7,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Programmatic Agreement (Sec. 106),Legal or Regulatory Actions,10,"Depending on the alternatives selected, the entire study area is full of historic properties and potential archeological artifacts as well as National Historic Landmarks and significant historic and cultural landscapes.  Historic, architectural and archaeological assessments and surveys will likely be required as the study progresses.  If areas such as the Naval Shipyard and historic wharfs are identified for significant construction, significant surveys, i.e. in-water surveys may be required prior to the PA being signed.  Offshore work would also require remote sensing archaeological surveys depending upon the location and the proposed alternative.",2,Unlikely,Unlikely (30% to 50%),"There is a study cost increase risk if in-water surveys are required prior to executing the PA.  Additionally, historic properties assessments and archaeological surveys, both on shore or in water, may be required for specific alternatives identified leading to the TSP.  Depending the upon the significance of the historic property or landscape, this could result in additional costs and possible scope modifications either during the FS or PED.",,16,Planning - Environmental,PLN,4490,Jeffrey Herzog,5,Other,If invasive or detailed surveys become required to complete a PA on the Study it will create potential cost and schedule delays.,10,,2,Low,0,300000,0,An initial historic and archaeological assessment of the project study area will be required during the FS to identify historic properties.  This assessment will help inform development of the Section 106 PA which will need to be coordinated and executed once the TSP is identified and by the end of the FS.,2,Low,0,180,0,If in-water surveys would require AE Contracting and remote sensing equipment.,2,Low,1,1,Active,4,Planning,4,Agency Decision,30-Jan-23,0,4490,Jeffrey Herzog,299,Point Distribution,299,Point Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
8,RLE-8,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Acquisition of Real Estate,"Stakeholder, Sponsor or Partners",9,"The number of stakeholders and property owners in the study area footprint is significant.  Many areas that will require structural measures are not publicly owned by the City of Boston.  Other areas may be identified for managed retreat or buyout as the recommended plan. They are either private or under the control of a different public entity.  In order to construct or implement, there may be a significant real estate undertaking; any real estate that can't be acquired could impact the effectiveness of the plan, potentially causing a redesign.",3,Likely,Likely (50% to 70%),"A redesign post authorization will potentially impact the authorized project, the cost, or the environmental impacts.",,18,Real Estate,RLE,4490,Jeffrey Herzog,5,Other,,5,Minor Problem,2,Low,0,500000,0,If a redesign is necessary due to real estate acquisition issues it will require both Engineering and NEPA work.,4,High,0,270,0,To develop an EDR and potentially a Supplemental NEPA Document post authorization.,4,High,1,1,Active,5,Pre-Construction Engineering and Design (PED),15,BCOES Certification,31-Jan-23,0,4490,Jeffrey Herzog,299,Point Distribution,299,Point Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
10,PLP-10,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Plan Formulation to SLC Curves,Info and Data Analysis,1,"USACE CSRM Studies incorporate sea level change into formulation. Policy directs formulation to USACE Curves, the high, intermediate and low scenarios. Teams traditionally formulate to all three curves, or they formulate to the intermediate curve and run sensitivity on the other two. Formulating to the low curve in a study area such as Boston could significantly understate risk; formulating to the high curve could overstate risk and remove opportunities for softer, adaptable solutions. ",4,Very Likely,Very Likely (70% to 90%),"Formulating for SLC is not an exact science and it is driven by the conditions of the study area, outputs of the model, as well as critical thresholds. Without risk management, it is very likely the team will formulate to the intermediate curve, because it's often been confused as the accepted practice and risk would be understated in the study area.",,13,Planning - Plan Formulation,PLP,4490,Jeffrey Herzog,6,Compliance,"If the study team, inlcuding the sponsor, recommends a plan based on the High SLC scenario, but the PL&C team recommends the Intermediate SLC scenario based on uncertainty it could be a major problem.  The result could be either reformulation, or a need for an LPP/NED exception to go with the High SLC scenario.",10,,4,High,0,0,0,,0,No Risk,0,60,180,"It is likely there will be some discussion with the ATR and PL&C Team as to which curve is proper, why, and what is driving the decision. When considering the number and level of reviews, it is anticipated and built into the study schedule for 60 days.",2,Low,1,1,Active,4,Planning,4,Agency Decision,1-Mar-23,0,4490,Jeffrey Herzog,299,Point Distribution,302,Triangular Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,0,No Schedule Impact
12,EHH-12,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Coastal Model Development Delays,Info and Data Analysis,1,"Delays associated with development numerical coastal models.  Regardless of NACCS or MC-FRM, there are significant changes necessary to develop an accurate existing and future without project model. Delays to coastal modeling could cascade and affect Economics and Cost.",4,Very Likely,Very Likely (70% to 90%),"The study area is very complex and there are several projects and actions by others that need to be developed for the numerical modeling.  As large as the study area, it is likely that there will be challenges in developing the FWOP picture.",,4,Engineering - Hydrology and Hydraulics,EHH,3630,Jeffrey Herzog,5,Other,There could be delays in releasing the draft report.,5,Minor Problem,2,Low,0,25000,0,"If there are issues, the study team will likely need to bring in assistance.",2,Low,0,60,120,If there are delays it will likely impact economics and cost disciplines and prolong the schedule.,2,Low,1,1,Active,4,Planning,3,Tentatively Selected Plan,23-Mar-23,0,4490,Jeffrey Herzog,299,Point Distribution,302,Triangular Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
13,PGM-13,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Incremental Funding,Resource Availability,5,"Incremental funding of the study will impact schedule and resource availability. The study funding stream indicates a federal need of $750K in FY23 and FY24, followed by $500K in FY25.  Any delay or denial of this funding will result in a schedule delay commensurate with the reduced funding.",5,Extremely Likely,Extremely Likely (90% to 100%),"The study is being funded through Workplan and Presidents Budget requests.  These requests are outside the sphere of influence for CENAE.  If there is a delay or shortfall in any of these funding streams, the schedule will be impacted.  The FY'23 Workplan request is $500K; currently there is zero money allocated to the Study.  The FY'24 PBUD is $550K, which is $200K less than requested.  Based on this shortfall, the study is one full year of federal funding behind schedule and will impact schedule by one year.",,22,Programs Management,PGM,4490,Jeffrey Herzog,7,Agency Reputational,"The study is already scheduled for five years, in a City that recognizes an immediate need for intervention.  Adding another year due to funding shortfalls will have a domino effect on PED and Construction schedules.",5,Minor Problem,2,Low,0,0,0,,0,No Risk,0,365,365,"One year will be added to the schedule based on the funding stream shortfalls. Depending as to where in the study funding stream shortfalls are made up, it will impact the overall study delay.",3,Medium,1,1,Active,4,Planning,3,Tentatively Selected Plan,1-Mar-23,0,4490,Jeffrey Herzog,299,Point Distribution,306,Uniform Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,0,No Schedule Impact
14,PLN-14,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Impacts due to Logan International Airport,Legal or Regulatory Actions,10,"Logan International Airport and its airspace and flyways are in the study area. Based on needed elevation for structural solutions, flyway, runway end safety zones, and obstruction clearance rules may be impacted.",3,Likely,Likely (50% to 70%),"Without risk management and cooperating with the FAA, it is likely that an NNBF planned for Belle Isle Marsh, or Wood Isle Marsh would impact study completion.",,16,Planning - Environmental,PLN,4490,Jeffrey Herzog,6,Compliance,,10,,3,Medium,0,5000,15000,The FAA could require additional bird hazard studies or other studies to demonstrate the performance impacts on Logan International Airport.,2,Low,0,30,180,"Significant bird studies or surveys could cost a lot of money. However, there is extensive information and studies available for the areas in question.",2,Low,1,1,Active,4,Planning,4,Agency Decision,1-Mar-23,0,4490,Jeffrey Herzog,302,Triangular Distribution,302,Triangular Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
15,OTH-15,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Roadways as non-project segments,Agency Policy and Process,7,"There are several elevated roadways that serve as non-project segment barriers.  These segments are not designed or constructed to serve that purpose. If USACE formulates around these segments, they could become risk items later in a risk analysis.",4,Very Likely,Very Likely (70% to 90%),"Without risk management, it is likely that the study team will formulate without consideration of the non-project segments and only formulate to tie in closure structures for the underpasses of these segments.",,12,Other,OTH,3630,Jeffrey Herzog,6,Compliance,"If it is determined that closure structures are not compliant or too great of a risk, reformulation could be necessary.  Reformulation could also increase the study budget due to NEPA impacts and engineering survey needs depending on the recommendation.",10,,4,High,0,10000,50000,The greatest impact of this risk is reformulation where it is determined that the risk is too great for a simple closure structure tied into an existing non-project segment.  The more likely impact is additional study and analysis to ensure tie in is structurally sound and does not exacerbate risk.,2,Low,0,0,45,,2,Low,1,1,Active,4,Planning,3,Tentatively Selected Plan,1-Mar-23,0,4490,Jeffrey Herzog,302,Triangular Distribution,306,Uniform Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
16,OTH-16,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Life Safety Risk of the Alternatives,Agency Policy and Process,7,Life safety risk of the alternatives must be evaluated per the Comprehensive Benefits Memo as part of the Net Benefits Plan.  The ability of the alternatives to impacts life safety risk and the team's ability to describe that impact through the results of consequences modeling will be evaluated by OWPR.  ,4,Very Likely,Very Likely (70% to 90%),"Life Safety analysis in the study phase can be qualitative or semi-quantitative depending on the degree of risk determined by the PDT. Without risk management and involvement of risk cadre, it is very likely that a qualitative assessment would be completed. That assessment would be evaluated by OWPR and determined whether it is compliant and satisfactory or requires additional work.",,12,Other,OTH,4490,Jeffrey Herzog,6,Compliance,"If sufficient life safety analysis can't be demonstrated, it may require reformulation.",10,,4,High,0,50000,0,"If it is determined that Life Safety is not sufficient, could require additional analysis, or potentially reformulation. This has Planning, NEPA, and Engineering impacts.",2,Low,0,120,0,,2,Low,1,1,Active,4,Planning,3,Tentatively Selected Plan,1-Mar-23,0,4490,Jeffrey Herzog,299,Point Distribution,299,Point Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
17,PLP-17,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Nonstructural Real Estate Costs,Agency Policy and Process,7,USACE policy for nonstructural measures is in development and there is no standard estate and no determination whether elevation/floodproofing requires an interest in real estate.,4,Very Likely,Very Likely (70% to 90%),"There will likely be some building adaptation or other nonstructural measures to buildings in the study area. The Enterprise is still developing costs, requirements, and policy.  Even when first published, it will likely still have impacts on formulation.",,13,Planning - Plan Formulation,PLP,4490,Jeffrey Herzog,6,Compliance,Policy could increase nonstructural LERRS and change the benefits so significantly that it changes the TSP and require reformulation.,5,Minor Problem,2,Low,0,0,0,,0,No Risk,0,0,150,"It is likely that the impact will be somewhere between 0 and 5 months while the team works to understand and incorporate nonstructural LERRS.  If nonstructural measures are not used, it is zero impact.",2,Low,1,1,Active,4,Planning,3,Tentatively Selected Plan,27-Mar-23,0,4490,Jeffrey Herzog,299,Point Distribution,306,Uniform Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,0,No Schedule Impact
18,OTH-18,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Utilities in the Project Area,Site Conditions,6,"Failure to identify utiities potentially affected by proposed structural solution may impact schedule, cost, and, design.",3,Likely,Likely (50% to 70%),"Dense urban environment, mapping utilities, private and public is not always accurate, or done at all.",,12,Other,OTH,3630,Jeffrey Herzog,6,Compliance,Cost impacts of relocating utilities could extend beyond the Chief's discretionary authority and require a Post Authorization Change.,10,,3,Medium,0,150000,500000,"If utilities are discovered that impact constructability, or implementation, it could increase costs significantly.",4,High,0,180,720,A significant redesign or need to execute surveys/borings could significantly impact schedule.,4,High,1,1,Active,5,Pre-Construction Engineering and Design (PED),11,Complete Real Estate Acquisition,1-Mar-23,0,4490,Jeffrey Herzog,302,Triangular Distribution,302,Triangular Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
19,EGT-19,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,SLC impacting Geology and Geotech,Site Conditions,6,Sea level rise leads to higher groundwater elevations in areas of fill in the City of Boston.  The areas of fill are currently susceptible to liquefaction and liquefaction susceptibility is exacerbated by rising sea level.  ,3,Likely,Likely (50% to 70%),Liquefaction of coastal areas of fill leads to lateral spreading and settlement of overlying coastal protection levees and structures.,,3,Engineering - Geotechnical,EGT,3630,Jeffrey Herzog,5,Other,,10,,0,No Risk,0,1300000,30000000,"The impact of the analysis in PED could change the foundation recommendations of the features authorized in the Feasibility Study. It is likely that the Feasibility Study analysis will paint an accurate picture and only the cost of borings will be necessary in PED to confirm. However, if there is a significant change in conditions, it could significantly increase the cost of the feature's foundation.  It could also change the NEPA impacts.",4,High,0,180,720,Schedule impacts could range from 6 months to 2 years in PED depending on how different the conditions are from what is determined in Feasibility. ,4,High,1,1,Active,5,Pre-Construction Engineering and Design (PED),10,Concept Design Phase (35%),1-Mar-23,0,4490,Jeffrey Herzog,302,Triangular Distribution,302,Triangular Distribution,1,Performance Impacts Anticipated,0,No Cost Impact,0,No Schedule Impact
20,EGT-20,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Materially differing site condition,Site Conditions,6,Site characterization for potential subsurface construction will not be conducted until PED phase.,3,Likely,Likely (50% to 70%),Construction costs could increase significantly depending on unanticipated foundation conditions on shore or off shore.,,3,Engineering - Geotechnical,EGT,3630,Jeffrey Herzog,5,Other,,5,Minor Problem,0,No Risk,0,0,0,,0,No Risk,0,0,120,"Depending on the alternatives in the Final Array, the Engineering team may need longer to gather enough data for the risk informed design process.  Additionally, the qualitative risk assessment and the CSRA will need to account for the uncertainty of subsurface conditions. If not, the risk of insufficient construction costs may be realized.",2,Low,1,1,Active,4,Planning,5,Senior Leaders Briefing,1-Mar-23,0,4490,Jeffrey Herzog,299,Point Distribution,306,Uniform Distribution,1,Performance Impacts Anticipated,1,Cost Impacts Anticipated,0,No Schedule Impact
21,PLN-21,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Determining a proposed action impacts EFH or ESA Resources,Site Conditions,6,Identification of EFH resources at any site late in the feasibility study process would add time to the schedule and increase study cost.,4,Very Likely,Very Likely (70% to 90%),"Without risk management it is very likely that we will identify either waterside construction or actual in-water work that could impact EFH. If it is waterside construction that is identified as part of the Feasibility Level design, post-ADM, it could have significant impacts on completing the NEPA document.",,16,Planning - Environmental,PLN,4490,Jeffrey Herzog,6,Compliance,,5,Minor Problem,2,Low,0,100000,250000,"If baseline surveys or additional investigation is necessary post ADM, it will impact cost and schedule, depending as to where in the study area it is.  If it requires mitigation, then it will require planning and modeling on top of the potential surveys.",2,Low,0,60,180,"If surveys and mitigation planning is necessary it will take much longer. However, the likelihood is, information will be on hand and it is a matter of mitigation planning only.",2,Low,1,1,Active,4,Planning,5,Senior Leaders Briefing,1-Mar-23,0,4490,Jeffrey Herzog,302,Triangular Distribution,302,Triangular Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
22,PLN-22,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Recommending features that cut off access to water,"Stakeholder, Sponsor or Partners",9,Building of structures could reduce access to water's edge and associated recreational opportunities that those areas provide.,4,Very Likely,Very Likely (70% to 90%),Without risk management and comprehensive benefits planning it is very likely that NED planning will point to hardening shoreline and blocking access to the water as part of risk management.,,16,Planning - Environmental,PLN,4490,Jeffrey Herzog,7,Agency Reputational,,10,,4,High,0,0,0,,0,No Risk,0,180,720,The worst-case scenario is an unwilling sponsor and a terminated study.  The more likely scenario is going out for public review after TSP and getting significant push-back requiring some reformulation. Reformulation will likely require a second release for NEPA.,4,High,1,1,Active,4,Planning,4,Agency Decision,1-Mar-23,0,4490,Jeffrey Herzog,299,Point Distribution,302,Triangular Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,0,No Schedule Impact
23,OTH-23,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,HTRW material at any project site,"Stakeholder, Sponsor or Partners",9,Identification of HTRW during PED investigation will impact Sponsor's ability to turn over LERRDS and could impact schedule and budget,4,Very Likely,Very Likely (70% to 90%),"There are contaminated areas in the study area, specifically in the upper Neponset River and along Chelsea Creek.  There are no Superfund sites in the direct area where the study is looking.",,12,Other,OTH,4490,Jeffrey Herzog,5,Other,,10,,4,High,0,0,0,,0,No Risk,0,365,1440,"If HTRW is discovered that requires Sponsor remediation, it could take anywhere from 1-year to indefinitely.",4,High,1,1,Active,5,Pre-Construction Engineering and Design (PED),11,Complete Real Estate Acquisition,1-Mar-23,0,4490,Jeffrey Herzog,299,Point Distribution,302,Triangular Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,0,No Schedule Impact
24,PLP-24,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,City of Boston Leading Public Involvement,Communications,2,This is an opportunity. The Sponsor scheduled $250K WIK dedicated to Public Involvement and Outreach. ,5,Extremely Likely,Extremely Likely (90% to 100%),"The city has 7-years of working on Climate Ready Boston which is the foundation for the Corps Study. They have the relationships, they understand the language barriers and interpretive needs and they know the hot-button issues in each neighborhood.",,13,Planning - Plan Formulation,PLP,4490,Jeffrey Herzog,7,Agency Reputational,,-10,Major Improvement,1,Opportunity,0,-250000,0,,1,Opportunity,-180,-30,0,"Their experience will be a significant time savings both in actual outreach, but also in responding to inquiries about who and what we didn't do for outreach.",1,Opportunity,1,1,Active,4,Planning,3,Tentatively Selected Plan,1-Mar-23,0,4490,Jeffrey Herzog,299,Point Distribution,302,Triangular Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
25,EHH-25,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,ERDC Refinement of the CHS Model specific to Boston CSRM,Info and Data Analysis,1,Scheduling a Modeling Validation Period will ensure that the study team has the correct FWOP picture and approach to make risk informed planning decisions.,5,Extremely Likely,Extremely Likely (90% to 100%),"CHS and G2CRM will provide a policy compliant product; however, does it provide the necessary data to give the study team the necessary information to make the correct decisions? This period will compare two separate coastal modeling approaches and two economic models to ensure that the right strategy and models are selected. The models will use existing data from a complex neighborhood to validate.",,4,Engineering - Hydrology and Hydraulics,EHH,3630,Jeffrey Herzog,4,Operations,,-10,Major Improvement,1,Opportunity,-250000,150000,350000,"Without the refinement period, the study will likely move forward and develop a policy compliant product. However, in PED when more detail and an SQRA/SAR are necessary, it could be determined that the feasibility modeling was incorrect. Based on experience, the effort to correct this is about $500k. This triangulation shows that the study could break even at $350K for the effort or realize up to a $250K savings.",2,Low,-270,-270,270,"The opportunity for schedule savings is not linear.  If rework in the study later on is required, it would likely take 9 months based on experience. However, the 6-month refinement period to update CHS for the specific study is free time because it was already going to be used by the team to identify inputs to the existing and FWOP condition.",1,Opportunity,1,1,Active,4,Planning,3,Tentatively Selected Plan,23-Mar-23,0,4490,Jeffrey Herzog,302,Triangular Distribution,299,Point Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
26,PLE-26,3572,City of Boston Coastal Storm Risk,New England District(NAE),,,NAE,Comprehensive Benefits Strategy and EJ,Agency Policy and Process,7,Comp Benefits (Jan '21 Memo) and EJ Outreach/inclusion (Jan '23 IG) are two planning areas of consideration that could impact plan selection.,4,Very Likely,Very Likely (70% to 90%),"The City of Boston is overwhelmingly EJ by definition of the CEJST (1.0). Reasons include linguistic isolation, traffic density and volume, and workforce development related vulnerabilities. Additionally, there are several intangible risks, impacts, and benefits that need to be considered in Boston that fall under the Comprehensive Benefits Strategy.",,15,Planning - Economics,PLE,2495,Jeffrey Herzog,7,Agency Reputational,,5,Minor Problem,2,Low,0,0,200000,"Without risk management, the impacts of incomplete comprehensive benefits analysis could be reformulation.  The impacts of incomplete EJ Outreach is a non policy compliant NEPA Document that require rework and a second release.",2,Low,30,0,180,"If rework is necessary and a second release is necessary, the impact could be as great as 6 months.",2,Low,1,1,Active,4,Planning,4,Agency Decision,1-Mar-23,0,4490,Jeffrey Herzog,306,Uniform Distribution,306,Uniform Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
