OBJECTID,PROGRAM,PROJECT,RISK_NO,RISKCATEGORY,FEATURE,DISCIPLINE,RISK_OPPORTUNITY_EVENT,CONCERNS,PDT_DISC_CONC,PDT_DISC_LIKELI_IMPACT,PDT_DISC_RISK_MANAG_STRATEGY,ACTION_ITEMS,RISK_STRATEGY,COST_LIKELIHOOD,COST_IMPACT,CONDITIONAL_FORMATTING,CONDITIONAL_FORMATTING2,CONDITIONAL_FORMATTING3,COST_RISK,COST_IMPACT_PER_PROJECT,SCHEDULE_LIKELIHOOD,SCHEDULE_IMPACT,SCHEDULE_RISK,SCHEDULE_IMPACT_PER_PROJECT,EFFICACY_IMPACT,EFFICACY_LIKELIHOOD,EFFICACY_RISK,TECHNICAL_POC,POC_REVIEW_DATE,TIMING_OF_DELAY,LESSONS_LEARNED,START_DATE,END_DATE,ACTIVE,TREND,IMPACT,OUTCOME,OWNER,MANAGEMENT_STATUS,FK_TABLE_ID,ENG_LEVEL,LEVEL_DATE,TAGS,LAST_EDITED_DATE
1613,NESP,Ecosystem,TR-6f,TECHNICAL RISKS,Engineered Channel,Engineering - H&H ,Engineered Channel,Floodway Impact,NA,NA,NA,NA,Accept & Transfer,Unlikely,Negligible,Green,Green,Green,Low,$0-$4 Million,Very Unlikely,Negligible,Low,0-4.8 months,Negligible,Unlikely,Low,Tom Gambucci,10/11/2022 1:00,Prior to Construction,NA,6/1/2021 1:00,1/1/2023 0:00,Yes,Stable,"Will impact the design of Engineered Channel (length, height).   Note the risk of floodway impact could increase if the RDB is not available for construction of project components and facilities.  Note that risk is captured as part of risk item RE-1 acquisition of real estate.",NA,Kirk Sunderman,Open,TR-6f,Level 1,7/22/2021 1:00,#EER,10/18/2022 14:53
2247,NESP,Ecosystem,TR-22,TECHNICAL RISKS,Engineered Channel,Engineering - General ,Remote dam operation,"Tainter gates in ice chute. Stability concerns, hydrographic erosion of the downstream rock, dam anchor interference, redundancy of the flushing system (can we use one gate?), debris.",NA,NA,NA,NA,Accept & Mitigate,Unlikely,Negligible,Green,Green,Green,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,Negligible,Unlikely,Low,Nic Patterson,9/27/2022 1:00,Prior to Construction,NA,10/4/2021 1:00,10/2/2023 1:00,Yes,Stable,The team has solutions to address the concerns. Backup plan: We would revert back to manual operation of the six gates.,NA,John Behrens,Open,TR-22,Level 1,10/4/2021 1:00,NA,10/18/2022 14:53
2246,NESP,Ecosystem,TR-21,TECHNICAL RISKS,Engineered Channel,Engineering - General ,ANS bypass deterrents in EC,Velocity can pull floaters or small fish through barriers when barge traffic is active.,NA,NA,NA,NA,Accept & Transfer,Unlikely,Negligible,Green,Green,Red,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,Significant,Likely,High,Nic Patterson,9/27/2022 1:00,Prior to Construction,NA,8/31/2021 1:00,10/2/2023 1:00,Yes,Increasing,We would get larval/juvenal fish upstream. If larval and juvenal fish are present it is likely they could get sucked along by currents. Possibly increase the voltage on the electric deterrent to mitigate/minimize the larval fish - needs to be verified.,NA,John Behrens,Open,TR-21,Level 1,7/31/2021 1:00,#EER,10/18/2022 14:53
1621,UMRR,Andalusia,OPP-1,OPPORTUNITY,Engineered Channel,Engineering - H&H ,Downstream Approach Conditions below Engineered Channel,Entrance and approach conditions to assess potential improvements and efficiencies to assess the impacts of changes.  Impact of generation cooling water intake; Impact of main channel flows coming down from the dam,NA,NA,NA,NA,Accept,Unlikely,Negligible,Green,Green,Green,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,Negligible,Unlikely,Low,Matthew Zager,10/13/2022 1:00,Prior to Construction,NA,7/1/2021 1:00,10/1/2023 1:00,Yes,Stable,"Scopes of work being finalized for physical model, anticipate model completion within 18 months? should include consideration of channel depth for vessel departure.  Opportunity to improve navigation conditions better than what it is now",NA,Kirk Sunderman,Open,OPP-1,Level 1,9/22/2021 1:00,NA,10/18/2022 14:53
3203,UMRR,Green Island,TEST-6,NON-REGULATORY,Engineered Channel,Engineering - Cost ,NA,NA,NA,NA,NA,NA,NA,NA,NA,Transparent,Transparent,Transparent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,Open,NA,NA,NA,NA,10/18/2022 14:53
1617,UMRR,Beaver Island,REGEN-1,REGULATORY AND ENVIRONMENTAL RISKS,Engineered Channel,Policy,Flood Way Permit,Non-navigational wall is not an appropriate floodway use and there is not enough room on the peninsula to add the fill material without impacting the floodway,NA,NA,NA,continue H&H,Accept & Mitigate,Likely,Marginal,Orange,Orange,Green,Moderate,$4-$24 Million,Likely,Marginal,Moderate,4.8-9.6 months,Marginal,Unlikely,Low,Kirk Sunderman,5/9/2022 1:00,Prior to Construction,NA,6/1/2021 1:00,6/1/2022 1:00,No,NA,NA,NA,NA,Closed,REGEN-1,Level 1,7/22/2021 1:00,NA,10/18/2022 14:53
3523,UMRR,Andalusia,TR-020a,IMPACTS TO PUBLIC SAFETY,Automated Barge Clearing Deterrent,Engineering - General ,NA,Concerns with maneuverability and safety of small recreational craft passing over the ABCD Deterrent.,NA,NA,NA,NA,Mitigate,Very Unlikely,Negligible,Green,Green,Green,Low,$0-$4 Million,Very Unlikely,Negligible,Low,0-4.8 months,Negligible,Very Unlikely,Low,Mark Cornish,NA,Prior to Construction,NA,9/1/2022 1:00,NA,Yes,Decreasing,Potential impacts to public safety could have implications for when ABCD deterrent can be functioning.,NA,NA,Open,NA,NA,NA,NA,10/18/2022 14:54
1003,UMRR,Green Island,TR-20,TECHNICAL RISKS,Automated Barge Clearing Deterrent,Environment,Entrainment Deterrent,Concern that bubbles could effect maneuverability of barges and may not remove the fish.,"research scheduled for FY22, provide best design we can now but may need to modify, What kind of flexibility can be designed in the feature to allow for adaptive management? Define design parimeters.","will impact schedule of design, air bubble curtain is in Risk Increment I","Continue R&D, Peoria lock demo Fall/Winter FY22, test barge maneuverability transiting air bubble curtain/field. Defer testing and go to full design implementation at Brandon Road to execute the testing.",NA,Accept & Transfer,Very Unlikely,Negligible,Green,Green,Green,Low,$0-$4 Million,Very Unlikely,Negligible,Low,0-4.8 months,Negligible,Unlikely,Low,Mark Cornish,5/9/2022 1:00,Both,NA,8/1/2021 1:00,1/1/2023 0:00,Yes,Stable,"Lack of design perimeter will impact schedule of design, air bubble curtain is included in Risk Increment I so there is little time to complete R&D before design needs to start.",NA,Mark Cornish,Open,TR-20,Level 1,7/19/2021 14:32,NA,10/18/2022 14:54
2883,UMRR,Green Island,PMM-3,PROJECT & PROGRAM MGMT,All,Project Management,Future OM Costs Underestimated,"Eventual operation, maintenance, repair, rehabilitation, and replacement responsibilities should be based on the expected project life of 50-years rather than a commitment in perpetuity. (PPA issue)",NA,NA,NA,NA,Accept & Mitigate,Very Likely,Marginal,Orange,Orange,Red,Moderate,$4-$24 Million,Very Likely,Marginal,Moderate,4.8-9.6 months,Crisis,Very Likely,High,Andy Leichty,10/12/2022 1:00,Prior/During Construction,NA,4/18/2022 1:00,9/29/2028 1:00,Yes,Increasing,IL concerns with existing and future funding availability for Operations Maintenance Repairs Rehabilitation and Replacement (OMRR&R).,NA,Andy Leichty,Open,PMM-3,Level 1,4/12/2022 1:00,NA,10/24/2022 10:20
2883,UMRR,Green Island,PMM-3,PROJECT & PROGRAM MGMT,All,Project Management,Future OM Costs Underestimated,"Eventual operation, maintenance, repair, rehabilitation, and replacement responsibilities should be based on the expected project life of 50-years rather than a commitment in perpetuity. (PPA issue)",NA,NA,NA,NA,Accept & Mitigate,Very Likely,Marginal,Orange,Orange,Red,Moderate,$4-$24 Million,Very Likely,Marginal,Moderate,4.8-9.6 months,Crisis,Very Likely,High,Andy Leichty,10/12/2022 1:00,Prior/During Construction,NA,4/18/2022 1:00,9/29/2028 1:00,Yes,Increasing,IL concerns with existing and future funding availability for Operations Maintenance Repairs Rehabilitation and Replacement (OMRR&R).,NA,Andy Leichty,Open,PMM-3,Level 3,4/12/2022 1:00,NA,10/24/2022 10:20
1603,UMRR,Oakwood Bottoms,PPM-1,PROJECT & PROGRAM MGMT,Administrative,Project Management,Signing of a PPA,Concern that the PPA cannot be negotiated and signed on time.,NA,NA,NA,NA,Accept,Very Likely,Marginal,Orange,Red,Red,Moderate,$4-$24 Million,Very Likely,Critical,High,19.2-38.4 months,Crisis,Very Likely,High,Andy Leichty,10/12/2022 1:00,Prior to Construction,NA,12/1/2020 0:00,12/1/2022 0:00,Yes,Stable,PPA needs to be signed by December 2022 to maintain schedule. 95% design is scheduled for completion in April 2024.,NA,Andy Leichty,Open,PPM-1,Level 3,4/12/2022 1:00,#FPM3,10/24/2022 10:24
1605,UMRR,Oakwood Bottoms,PPM-2,PROJECT & PROGRAM MGMT,Administrative,Project Management,Funding Availability,Lack of efficient funding in PED could delay design.,NA,NA,NA,NA,Accept & Transfer,Likely,Marginal,Orange,Red,Red,Moderate,$4-$24 Million,Very Likely,Critical,High,19.2-38.4 months,Crisis,Very Likely,High,Andy Leichty,10/12/2022 1:00,Prior to Construction,NA,8/2/2021 1:00,10/3/2022 1:00,Yes,Stable,"Expect to receive necessary funds for year 3 to complete design. If not, schedule would slip and construction contract may not be awarded in the targeted FY of 2024.",NA,Andy Leichty,Open,PPM-2,Level 1,9/2/2021 1:00,NA,10/24/2022 10:27
651,UMRR,Oakwood Bottoms,TR-1d,TECHNICAL RISKS,Flushing Lock,Environment,Flushing Lock Filling/Emptying System,Validation of biological parameters  - does it work when floaters are present?,We could not conduct numeric modeling of barges in the chamber to measure the effectiveness of flush. How often will we be able to flush during certain times of the year? How do we buy down risk with physical modeling?,We're not able to clear floating ANS from the chamber at the efficacy level required.,Review hydrograph and compare to invasive carp spawning to capture this risk of passage during low flow periods. Conduct validation during physical modeling to identify a level of water exchange (effectiveness) for different head differential conditions.,NA,Accept & Mitigate,Unlikely,Negligible,Green,Green,Green,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,Marginal,Unlikely,Low,Nic Patterson,9/27/2022 1:00,Prior,NA,3/27/2023 1:00,6/27/2023 1:00,Yes,Stable,"We might not be able to clear floating ANS from the chamber at the efficacy level required/desired.  We are limited to maximum 15 minute delay to navigation.  Currently conducting physical modeling of the flushing lock to maximize filling and emptying efficiency, however, in the field efficacy impacts would be realized during operation and would not impact construction cost or schedule.",NA,John Behrens,Open,TR-1d,Level 1,7/19/2021 14:32,NA,10/24/2022 11:31
1611,UMRR,Oakwood Bottoms,TR-6e,TECHNICAL RISKS,Engineered Channel,Project Management,Engineered Channel,Navigation delays during operations,NA,NA,NA,NA,Transfer,Unlikely,Significant,Orange,Green,Orange,Moderate,$24-$56 Million,Unlikely,Marginal,Low,4.8-9.6 months,Marginal,Likely,Moderate,Kirk Sunderman,9/29/2022 1:00,Prior/During Construction,NA,1/28/2022 0:00,9/30/2024 1:00,Yes,Increasing,"Draft of barges, piston effect, vulnerability to elisions, operation concerns with electrical barrier, maneuverability in bubble curtain and approach channel, approach velocities related to power water intake, Hawser forces, any channel wall gaps. This may impact the depth of the channel due to ""tow squat"". ERDC is currently modeling this issue.",NA,Kirk Sunderman,Open,TR-6e,Level 1,7/22/2021 1:00,#EER,10/24/2022 11:37
1612,UMRR,Oakwood Bottoms,TR-6g,TECHNICAL RISKS,Engineered Channel,Engineering - General ,Engineered Channel,Navigation delays during construction,NA,NA,NA,NA,Accept & Mitigate,Likely,Marginal,Orange,Red,Green,Moderate,$4-$24 Million,Likely,Significant,High,9.6-19.2 months,Negligible,Very Unlikely,Low,Kirk Sunderman,10/24/2022 1:00,Prior to Construction,NA,1/1/2023 0:00,1/1/2024 0:00,Yes,Increasing,"Delays during construction, access for passage of vessels in the DS approach channel. There may be additional delays due to ""in the wet"" construction, still on the project. Impact may be due to additional overtime required to accommodate the schedule.",NA,Kirk Sunderman,Open,TR-6g,Level 1,7/22/2021 1:00,#EER,10/24/2022 11:44
1614,UMRR,Lower Pool 13,TR-8,TECHNICAL RISKS,All,Environment,Technology Effectiveness,There may be problems with achieving the desired effectiveness of the entire ANS control system.,NA,NA,NA,NA,Accept & Mitigate,Likely,Marginal,Orange,Green,Red,Moderate,$4-$24 Million,Unlikely,Negligible,Low,0-4.8 months,Significant,Likely,High,Mark Cornish,5/9/2022 1:00,Prior/During Construction,NA,8/1/2021 1:00,1/1/2024 0:00,Yes,Stable,"Impacts are likely.  Experimental Technologies may fail validation studies allowing invasive species to pass.  Redundancy requirement - Other components in the ANS control system would need to compensate for lost effectiveness. Irretrievable expenses - Design, installation, construction, testing, and removal costs would be irretrievable.  Impacts would be realized during operation.",NA,Kirk Sunderman,Open,TR-8,Level 1,7/22/2021 1:00,NA,10/24/2022 11:51
996,UMRR,Lower Pool 14,TR-9,TECHNICAL RISKS,Acoustic Fish Deterrent,Environment,Acoustic Barrier R&D,Efficacy of Acoustics,Limited systems are being tested. One system is patented so we do not have the ability to test. Do we have the right system? Are fish responsive to the systems being tested in the field? We need to maintain at appropriate levels that do not disrupt navigation and local residence. Is it sustainable?,"If it's not affective, may need to abandon concept for another deterrent system; R&D will take several years to reach conclusions; durability; sediment",Continued R&D; MVR support of testing at L&D 19 test site,NA,Accept,Unlikely,Negligible,Green,Green,Orange,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,Critical,Unlikely,Moderate,Christa Woodley,5/9/2022 1:00,Both,NA,8/1/2021 1:00,1/1/2023 0:00,Yes,Stable,"Acoustics are likely to be less than 100% effective at deterring silver and bighead carp and will have no effect on floaters. If it's not effective, may need to abandon concept for another deterrent system; R&D will take several years to reach conclusions. Durability - Exposure to long-term submersion, sediment, and fluctuating temperatures are currently being tested at L&D 19. Redundancy requirement -  Other components in the ANS control system would need to compensate for lost effectiveness of the acoustic system.  Irretrievable expenses - Design, installation, construction, testing, and removal costs would be irretrievable. Safety - The US Coast Guard may request additional safety studies after installation.  This could lead to operating guidelines that are lower than the most effective volume.",NA,Mark Cornish,Open,TR-9,Level 1,7/19/2021 14:32,NA,10/24/2022 11:57
668,UMRR,Lower Pool 15,TR-9b,TECHNICAL RISKS,Acoustic Fish Deterrent,Environment,Acoustic Barrier R&D,Ambient noise,Ambient noise could interfere with surroundings,ambient noise that affects community and navigation; impacts to public use of the adjacent area,Continued R&D; re-evaluate BR acoustics cross walked with data collected at Lock 19 for improvements; evaluate similarities between channel depths (Lock 19 & Brandon Road); evaluate affects on actual navigation vessels at Lock 19;,NA,Accept,Unlikely,Negligible,Green,Green,Orange,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,Marginal,Likely,Moderate,Christa Woodley,5/9/2022 1:00,Both,NA,1/1/2024 0:00,1/1/2025 0:00,Yes,Stable,Ambient noise could affect community and navigation. Possible impacts to public use of the adjacent area.,NA,Warren Lorentz,Open,TR-9b,Level 1,7/19/2021 14:32,NA,10/24/2022 12:02
671,UMRR,Lower Pool 16,TR-9d,TECHNICAL RISKS,Acoustic Fish Deterrent,Environment,Acoustic Barrier R&D,"Single source for speakers, sole proprietor",Single source production rate is very limited; sole source procurement required;,"If we need to change to another source there will be an impact to design when it comes to housing size, channel layout/recesses etc.; pulse acoustic technologies;",conduct a sources sought of other speakers; development salient characteristics specifications;  laboratory testing of other systems; sources sought on salient conditions desired,NA,Accept & Mitigate,Very Likely,Negligible,Green,Red,Green,Low,$0-$4 Million,Very Likely,Critical,High,19.2-38.4 months,Marginal,Unlikely,Low,John Behrens/Christa Woodley,5/9/2022 1:00,Both,NA,12/1/2021 0:00,1/1/2023 0:00,Yes,Increasing,"If we need to change to another source there will be an impact to design when it comes to housing size, channel layout/recesses etc. Pulse acoustic technologies.",NA,Warren Lorentz,Open,TR-9d,Level 1,7/19/2021 14:32,#FPM3,10/24/2022 12:06
998,UMRR,McGregor Lake,TR-9e,TECHNICAL RISKS,Acoustic Fish Deterrent,Environment,Acoustic Barrier R&D,Interaction with electrical barrier,We don't know what the effects the electric barrier or stray current will have on the speakers and their operation,"May need a different speaker manufacturer, different sound systems may be needed. There are concerns with stray currents frying the acoustic speakers;",Test spare speakers in existing barrier to see impacts; collect field data on acoustics when they close the electric current; continued R&D;,NA,Accept & Mitigate,Unlikely,Negligible,Green,Green,Orange,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,Marginal,Very Likely,Moderate,Christa Woodley,5/9/2022 1:00,Both,NA,1/1/2023 0:00,1/1/2024 0:00,Yes,Stable,May need a different speaker manufacturer and different sound systems may be needed. There are concerns with stray currents frying the acoustic speakers.,NA,Warren Lorentz,Open,TR-9e,Level 1,7/19/2021 14:32,NA,10/24/2022 12:08
674,UMRR,Keithsburg Division,TR-9f,TECHNICAL RISKS,Acoustic Fish Deterrent,Environment,Acoustic Performance over time,"Operability, maintainability, sustainability. This risk is due to lifecycle costs with the speakers over time.",Acoustic system has not been tested for 25 or 50 yr. operation,Unknown until measured; increased maintenance and/or repair/replacement,Test speakers for an extended period of time;  measure the success (durability and any degradation) at Locks 19 & 6;,NA,Accept,Unlikely,Negligible,Green,Green,Red,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,Significant,Likely,High,Christa Woodley,5/9/2022 1:00,Both,NA,1/1/2023 0:00,1/1/2025 0:00,Yes,Stable,"Unknown until measured. Increased maintenance and/or repair/replacement.  Impacts would be realized during operation, would not impact construction cost or schedule.",NA,Warren Lorentz,Open,TR-9f,Level 1,7/19/2021 14:32,#EER,10/24/2022 12:10
1615,UMRR,Steamboat Island,TR-10,TECHNICAL RISKS,All,Engineering - General ,Control Systems,Software engineering may be required to operate all systems under the same controls at the lock house.,NA,NA,NA,NA,Accept & Mitigate,Very Likely,Marginal,Orange,Green,Orange,Moderate,$4-$24 Million,Unlikely,Negligible,Low,0-4.8 months,Marginal,Likely,Moderate,Kent Rockow,10/14/2022 1:00,Prior to Construction,NA,1/1/2022 0:00,6/1/2024 1:00,Yes,Stable,Additional controls of the barrier systems may be needed at the control house for safety and awareness.,NA,Benjamin Barrowes,Open,TR-10,Level 1,7/22/2021 1:00,NA,10/24/2022 12:17
680,NA,BRIP,TR-18a,TECHNICAL RISKS,Electric Deterrent,Engineering - General ,Electric Barrier Deterrent,Methods and materials to reduce stray current impacts could exceed the current conceptual design estimate.,"water column distribution of current, shallower channel depth, what is the consequence at Brandon Road, leads to material choices and voltages, can we accommodate the same design as at Romeoville?",Due to the minimal depth between the electrodes and the barges that design parameters will be changed drastically.,Working at defining design parimeters for varying tailwater conditions to set limits for the design of the electric barrier sampling of water conductivity.,NA,Accept & Mitigate,Unlikely,Negligible,Green,Green,Orange,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,Critical,Unlikely,Moderate,Kirk Sunderman,9/29/2022 1:00,Both,NA,8/1/2021 1:00,7/1/2023 1:00,Yes,Stable,"Due to the minimal depth between the electrodes and the barges that design parameters will be changed drastically.  Do have promising preliminary results with CRREL, good confidence level that we can address stray current at Brandon Road.",NA,Kirk Sunderman,Open,TR-18a,Level 1,7/19/2021 14:32,#EER,10/24/2022 12:23
1616,NA,BRIP,REGEN-2,REGULATORY AND ENVIRONMENTAL RISKS,Acoustic Fish Deterrent,Environment,Noise Permitting - Acoustics,The large array acoustic barrier may make noise that can be heard outside of the water.,NA,NA,NA,NA,Accept & Mitigate,Unlikely,Negligible,Green,Green,Green,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,Negligible,Very Unlikely,Low,Kirk Sunderman,5/9/2022 1:00,Prior/During Construction,NA,10/1/2021 1:00,6/1/2022 1:00,Yes,Stable,There's no local population within 1200 ft of this large array system. This is the distance determined at LD19 in which sound from the deterrent cannot be heard and is below the OSHA decibel requirement (90 dBa).,NA,Christa Woodley,Open,REGEN-2,Level 1,7/19/2021 1:00,NA,10/25/2022 9:33
2250,NA,BRIP,REGEN-9,REGULATORY AND ENVIRONMENTAL RISKS,Administrative,Policy,Project Footprint & Operation,Illinois Public Body of Water Impacts. The DesPlaines river is a public waterway in Illinois and requires mitigation for impacts.,NA,NA,NA,NA,Accept & Mitigate,Likely,Marginal,Orange,Orange,Green,Moderate,$4-$24 Million,Likely,Marginal,Moderate,4.8-9.6 months,Marginal,Unlikely,Low,Kirk Sunderman,9/29/2022 1:00,Prior to Construction,NA,3/31/2022 1:00,9/29/2023 1:00,Yes,Increasing,This falls under a 3704 Illinois regulation. Electric Barrier and bubble curtain influence on recreational / private watercraft boating on Public Water. Recreational/private watercraft protected from electrical current and bubble impacts. The risk can be mitigated during design by creating better fishing access and a boat ramp.   Mitigation for private boating impacts could include a public boat ramp and associated facilities as part of the project.  Development of the river side of the divider island peninsula and/or opposite bank of the river could serve to mitigate these known project impacts.  Lock cycle times must not be diminished to the extent that it causes a mode shift to other means of goods transportation.,NA,Loren Wobig,Open,REGEN-9,Level 1,10/13/2021 1:00,#EER,10/25/2022 9:45
1618,NA,BRIP,EN-1,ENVIRONMENT,Administrative,Environment,Phase II Environmental Site Investigation,The assumption made during the feasibility study was the site could be used for construction with some remediation. Environmental site investigation may result in unusable site or high cost. This risk pertains to required real estate footprint on the RDB.,NA,NA,NA,NA,Accept & Mitigate,Unlikely,Significant,Orange,Red,Green,Moderate,$24-$56 Million,Unlikely,Crisis,High,38.4 months +,Negligible,Unlikely,Low,Steve Gustafson,9/27/2022 1:00,Prior/During Construction,NA,8/1/2021 1:00,7/1/2023 1:00,Yes,Increasing,The state is actively working to complete Phase II analyisis which includes sampling. It's a formal industrial site and dredge placement site with unknown disposal with potential to high impacts to cost and schedule. There was a lawsuit regarding potential ground water contamination at various NRG sites.  Note this risk is related to risk RE-1 Land Acquisition in two ways.  First we are dependent on land access (Rights of Entry for Exploration) being acquired to conduct the investigation.  If we do not get access then the Phase II analysis cannot be completed and the land acquisition for construction cannot be completed.  Second the results of a Phase II investigation could dictate that it is not feasible to acquire the site which is essentially the risk concern of RE-1 Land Acquisition of the preferred site cannot be acquired.,NA,Bob Spencer,Open,EN-1,Level 1,7/22/2021 1:00,NA,10/25/2022 10:11
1619,NA,BRIP,RE-1,REAL ESTATE,Administrative,Real Estate,Land Acquisition,Right descending bank may not be available for use.,NA,NA,NA,NA,Accept & Mitigate,Likely,Marginal,Orange,Red,Green,Moderate,$4-$24 Million,Likely,Significant,High,9.6-19.2 months,Negligible,Unlikely,Low,Bob Spencer,5/9/2022 1:00,Prior/During Construction,NA,5/1/2021 1:00,6/1/2022 1:00,Yes,Increasing,"Impacts are high to the design schedule and the construction schedule and may incur some cost increase to move to the LDB.  Multiple secondary impacts are identified in risks TR-6F, TR-6H, TR-11, EN-1",NA,Andy Leichty,Open,RE-1,Level 1,7/22/2021 1:00,"#EER, #FPM3",10/25/2022 11:28
