RISK_ID,RISK_IDENTIFIER,PROJECT_ID,PROJECT_NAME,P2_LOOKUP,RISK_NAME,RISKCATEGORY,RISKCATEGORYID,RISK_STATEMENT,PROB_OCCURRENCE,LIKELIHOOD,LIKELIHOOD_DISC,PROB_OCCURRENCE_EVIDENCE,OCCURRENCECONFIDENCEID,CONFIDENCE,RISKOWNERDISCIPLINEID,DISCIPLINE,DISCIPLINE_ACRONYM,RISKMANAGERID,RISKMANAGER,PERFORMANCEIMPACTTYPEID,PERFORMANCEIMPACTTYPE,PERFORMANCEIMPACT_DESC,PERFORMANCEIMPACT_IMPCT,PERFORMANCEIMPACT_RISK_RANKING,COST_IMPACT_LOWEST,COST_IMPACT_MOSTLIKELY,COST_IMPACT_HIGHEST,COST_IMPACT_EVIDENCE,SCHEDULE_IMPACT_LOWEST,SCHEDULE_IMPACT_MOSTLIKELY,SCHEDULE_IMPACT_HIGHEST,SCHEDULE_IMPACT_EVIDENCE,SCHEDULE_RISK_RANKING,RISKSTATUSID,ID,RISKSTATUS,PROJECTPHASEID,LIFECYCLEPHASENAME,PROJECTMILESTONEID,ID_1,MILESTONE,EDITDATE,LOCKSTATUS,USER_ID,FIRST_NAME,LAST_NAME,COST_IMPACT_DISTTYPE,SCHEDULE_IMPACT_DISTTYPE,NO_PERFORMANCE_IMPACT,NO_COST_IMPACT,NO_SCHEDULE_IMPACT
7,RLE-7,3430,LSJ Lathrop Manteca Feasibility Study,503951,Poor Planning Decision: Identifying Real Estate,Resource Availability,5,"The District recognizes the challenge in locating mitigation sites due to limited available real estate within the Mossdale Tract area and the large amount of mitigation that could be required for potential structural measure recommendations of proposed FRM features; risk of inadequate resources to fulfill mitigation required for project implementation.
",4,Very Likely,Very Likely (70% to 90%),"The District recognizes the challenge in locating mitigation sites due to limited available real estate within the Mossdale Tract area and the large amount of mitigation that could be required for potential structural measure recommendations. Concurrently with NNBF and ER refinements and alternative analysis, the District will develop potential mitigation locations contributing to the mitigation plan development for structural measures that could be recommended under this study effort.",,,18,Real Estate,RLE,7687,,5,Other,"Assumption: The team will know early on what land will and will not be available for acquisition. This will inform the recommended plan features and locations.
Despite the teams efforts in conducting appropriate outreach to gage availability of land for mitigation purposes, if there are inadequate resources to fulfill mitigation requirements for project implementation, impacts to overall project would be a major problem.",10,3,0,0,0,"Due to the risk of inadequate resources to fulfill mitigation required for project implementation, the team is conducting appropriate outreach to ensure they are aware of which land would and would not be available for mitigation purposes",0,0,0,"The team will know early on what land will and will not be available for acquisition. This will inform the recommended plan features and locations.
With NNBF and ER refinements and alternative analysis, the District will develop potential mitigation locations contributing to the mitigation plan development for structural measures that could be recommended under this study effort. This early recognition of the need for mitigation sites and early coordination could allow for completion of the study mitigation plan concurrently with the overall study schedule.",1,1,1,Active,4,Planning,1,1,Project Initiation,4/6/2023 6:05 PM,0,7687,Miranda,Peters,299,299,0,0,0
8,PLP-8,3430,LSJ Lathrop Manteca Feasibility Study,503951,Poor Planning Decision: Levee Design Approval,Agency Policy and Process,7,"Selection of a plan that complies with USACE levee design guidance, including vegetation on levees. Opposition of the plan unless variances are received to reduce vegetation removal.",0,Extremely Unlikely,Extremely Unlikely (0% to 5%),,,,13,Planning - Plan Formulation,PLP,7687,,5,Other,"Unlikely performance impact since the PDT will be focused on selecting a plan that will comply with USACE levee design guidance, including vegetation on levees, or applying for variance during PED and Construction. 
The PDT will adopt the recommendations from the 2018 interim study to address vegetation on levees and assess the need for a variance during the development of detailed designs in the Pre-Construction Engineering and Design or Construction phases.
The Recommended Plan will comply with USACE levee design guidance.",-5,1,0,0,0,"Additional mitigation costs to implement the project. Depending on the amount, the mitigation costs could impact the project BCR. Unlikely since the PDT will be focused on selecting a plan that will comply with USACE levee design guidance, including vegetation on levees, or applying for variance during PED and Construction.",0,0,0,"Unlikely since the PDT will be focused on selecting a plan that will comply with USACE levee design guidance, including vegetation on levees, or applying for variance during PED and Construction.",1,1,1,Active,4,Planning,1,1,Project Initiation,4/6/2023 6:12 PM,0,7687,Miranda,Peters,299,299,0,0,0
9,PLE-9,3430,LSJ Lathrop Manteca Feasibility Study,503951,Analytical Error: Economics,Info and Data Analysis,1,"Vertical team opposition to economic justification without HEC-FDA.
Study delay in responding to review comments and incorporating HEC-FDA later in the study process.
TotalRisk is new software anticipated to be certified in 2023 and therefore additional review comments are anticipated to be generated due to the use of new software.",0,Extremely Unlikely,Extremely Unlikely (0% to 5%),Risk resolved - The study team plans to utilize both HEC-FDA and TotalRisk.,,,15,Planning - Economics,PLE,5615,,5,Other,,5,0,0,0,0,,0,0,0,,0,7,7,Inactive - Decision Made,4,Planning,1,1,Project Initiation,4/6/2023 6:18 PM,0,7687,Miranda,Peters,299,299,1,1,1
10,PLE-10,3430,LSJ Lathrop Manteca Feasibility Study,503951,Analytical Error: Economic Justification,Agency Policy and Process,7,Vertical team opposition to economic justification without HEC-FDA. TotalRisk is new software anticipated to be certified in 2023 and therefore additional review comments are anticipated to be generated due to the use of new software. Study delay in responding to review comments and incorporating HEC-FDA later in the study process.,0,Extremely Unlikely,Extremely Unlikely (0% to 5%),"Risk resolved - The study team plans to utilize both HEC-FDA and TotalRisk.
Unlikely since the PDT will be focused on selecting a plan that will comply with USACE levee design guidance, including vegetation on levees, or applying for variance during PED and Construction.

",,,15,Planning - Economics,PLE,5615,,5,Other,,5,0,0,0,0,Risk resolved - The study team plans to utilize both HEC-FDA and TotalRisk.,0,0,0,,0,7,7,Inactive - Decision Made,4,Planning,1,1,Project Initiation,4/6/2023 6:25 PM,0,7687,Miranda,Peters,299,299,1,1,1
11,PLE-11,3430,LSJ Lathrop Manteca Feasibility Study,503951,Identification of suitable habitat mitigation sites,Site Conditions,6,"Identifying habitat mitigation sites has been challenging due to limited opportunities for suitable mitigation sites in the region and the need for a potentially large amount of habitat
mitigation. The risk is that not enough habitat mitigation sites would be identified
which could stall resource agency support for the project and delay
implementation.",3,Likely,Likely (50% to 70%),Medium risk carried forward with recommended COA 3. Delay in study completion due to identification of suitable mitigation sites for impacts from proposed FRM project features. ,,,16,Planning - Environmental,PLE,8753,,2,Environmental,Minimal if any impact to schedule/cost/performance since a mitigation strategy is being implemented.,5,2,0,0,0,,0,30,0,"The risk is that not enough habitat mitigation sites would be identified
which could stall resource agency support for the project and delay
implementation.",2,1,1,Active,4,Planning,1,1,Project Initiation,4/27/2023 3:39 PM,0,7687,Miranda,Peters,299,299,0,0,0
12,EHH-12,3430,LSJ Lathrop Manteca Feasibility Study,503951,Inland Hydrology,Info and Data Analysis,1,"Inland Hydrology is expected to change over the life of this project.  The State of CA has done some analysis but it is not in alignment with the USACE guidance on this data process.  The Sea Level and H&H COP do not currently have guidance  for an acceptable method to account for inland hydrology change.  Due to this the team is running a sensitivity analysis on the data, based on the information that the State has gathered to see if the proposed project will be resilient to future changes in inland hydrology. This is included in the current scope and this risk has been partially mitigated through scoping.",2,Unlikely,Unlikely (30% to 50%),"We are already seeing changes impacts to the hydrology in the Central Valley due to climate change.  With more extreme weather, atmospheric rivers, and changes in the elevation of the snowpack, we are expecting to have a significant increase in the amount of flow that enters the river system. The likelihood that additional analysis beyond the sensitivity analysis is required to determine the TSP is low.",,,4,Engineering - Hydrology and Hydraulics,EHH,8752,,1,Asset Condition,"If we missed the mark on inland climate change and flows are greater than expected then the risk to the project, community, environment, and agency reputation could be huge.  We have been approved for an extension to mitigate to try and account for this but any change to policy could upgrade this to a major problem.",5,2,0,200000,1000000,"Depending on how it is eventually decided how to address inland climate change, this could add a significant cost if guidance is published prior to the completion of the project.
The current guidance only requires a qualitative analysis, which is the lowest cost provided. 
 The current plan of doing a sensitivity analysis to make sure the project will have future resilience is the most likely cost and that is already accounted for in the current scope.  If USACE guidance is developed prior to project completion, the project may have to consider developing new hydrology, hydraulics, FDA analysis, risk, and likely alternative selection, which is what the highest value is accounting for.",0,180,770,"Only going by guidance of qualitative analysis, results in no expected project delays.  The most likely scenario of doing the sensitivity analysis is already included in the current scope and results in no delay.  If the USACE guidance is revised with a method to quantitatively analyze inland climate change, then that would add 2 years to the project schedule.",3,1,1,Active,4,Planning,1,1,Project Initiation,6/8/2023 2:01 PM,0,8752,Morgan,Marlatt,302,302,0,0,0
1,PLP-1,3511,"C&SF:Flood Resiliency (Section 216) Study, FL",488589,Wrong selection of plan,Info and Data Analysis,1,"Multiple water resources projects within study boundary would potentially have interaction with the C&SF Flood Resiliency Study and could lead to have multiple Future Without Projects at some point of the planning process. This could potentially lead the team to select the wrong TSP.
",3,Likely,Likely (50% to 70%),There is a possibility for the team to select the wrong Plan,,,13,Planning - Plan Formulation,PLP,6246,,7,Agency Reputational,"If another round of alternatives is needed, might impact trust with the stakeholders
",10,3,200000,0,600000,"Approximate range of how much funding might be required to incorporate another round of alternatives in other studies
",30,0,90,"Approximate range of how much time might be required to incorporate another round of alternatives in other studies
",2,1,1,Active,4,Planning,1,1,Project Initiation,2/24/2023 6:09 PM,0,6246,Zulamet,Vega-Liriano,306,306,0,0,0
4,EHH-4,3531,Lower Missouri Brunswick L-246,496631,Construction of Federal or Local Projects,Site Conditions,6,"Construction or alteration to levees, reservoirs, bridges, and other projects can contribute to altered hydraulics. For example, nonfed levee raises increase water surface elevations and are likely to raise stages more frequently, loading L246 and Brunswick more frequently. Not accounting for these future raises, construction projects, etc. means that changes in hydrology and hydraulics are not accounted for.",2,Unlikely,Unlikely (30% to 50%),It is likely that the nonfed levees have been raised since the 2019 flood and were not captured in recent LiDAR surveys.,,,4,Engineering - Hydrology and Hydraulics,EHH,5436,,5,Other,"This risk is a minor problem and, if addressed, would provide improvement. If not addressed, all alternatives will still be compared to the same conditions. If addressed, then the selection of the recommended plan will be based of off the most up to date conditions.",5,2,0,20000,0,Including updated information related to nearby projects would require reanalysis of the hydraulic modeling effort. Potential cost depends on when the data comes available in the planning process and how much hydraulic reanalysis would have to occur.,0,15,0,"Additional time would be required to update the hydraulic model with updated conditions. Additionally, the alternative models would need to be rerun.",2,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,3/3/2023 5:54 PM,0,4830,Erin,Reinkemeyer,299,299,0,0,0
5,ECV-5,3531,Lower Missouri Brunswick L-246,496631,Test Risk entered by developer,Agency Policy and Process,7,Test risk entered by developer Hardee Mahoney,2,Unlikely,Unlikely (30% to 50%),,,,9,Engineering - Civil,ECV,8774,,5,Other,,5,0,0,500,0,,0,0,0,,0,1,1,Active,4,Planning,1,1,Project Initiation,2/3/2023 4:17 PM,0,8774,Hardee,Mahoney,299,299,1,0,1
5,ECV-5,3531,Lower Missouri Brunswick L-246,496631,Test Risk entered by developer,Agency Policy and Process,7,Test risk entered by developer Hardee Mahoney,2,Unlikely,Unlikely (30% to 50%),,,,9,Engineering - Civil,ECV,8774,,5,Other,,5,0,0,500,0,,0,0,0,,0,1,1,Active,4,Planning,1,1,Project Initiation,2/3/2023 4:17 PM,0,8774,William,Mahoney,299,299,1,0,1
1,EPE-1,3544,Test A Project,000000,TEST risk 1,Contract Acquisition,3,description,2,Unlikely,Unlikely (30% to 50%),,,,21,Construction - Project Engineer,EPE,2331,,8,Agency Strategy,,5,2,5,0,15,,5,0,15,,2,7,7,Inactive - Decision Made,4,Planning,1,1,Project Initiation,3/30/2023 3:45 PM,0,138,Erin,Rooks,306,306,0,0,0
2,OPS-2,3544,Test A Project,000000,Test Risk 2,Legal or Regulatory Actions,10,,1,Very Unlikely,Very Unlikely (5% to 30%),,,,11,Operations,OPS,8653,,6,Compliance,,5,2,1,0,100000,,0,33,0,,2,1,1,Active,5,Pre-Construction Engineering and Design (PED),7,7,Survey and Geotech Characterization,1/19/2023 10:18 PM,0,8653,Brad,Firlie,306,299,0,0,0
3,PLP-3,3544,Test A Project,000000,11,Legal or Regulatory Actions,10,,0,Extremely Unlikely,Extremely Unlikely (0% to 5%),,,,13,Planning - Plan Formulation,PLP,8653,,5,Other,11,5,2,11,11,12,1,1,2,3,,2,1,1,Active,5,Pre-Construction Engineering and Design (PED),9,9,Project Definition Phase (15%),1/19/2023 10:25 PM,0,8653,Brad,Firlie,299,302,0,0,0
4,EEL-4,3544,Test A Project,000000,Test 002,Contract Performance,4,Short desc,3,Likely,Likely (50% to 70%),,,,7,Engineering - Electrical,EEL,8653,,1,Asset Condition,,5,2,400000,0,950000,None,0,20,0,,2,1,1,Active,6,Construction,16,16,Construction Contract Award,1/24/2023 1:49 PM,0,8775,,,306,299,0,0,0
5,PLC-5,3544,Test A Project,000000,Risk Test 0854,"Stakeholder, Sponsor or Partners",9,,0,Extremely Unlikely,Extremely Unlikely (0% to 5%),,,,14,Planning - Cultural Resources,PLC,8653,,6,Compliance,,5,2,500000,800000,800000,,0,100,0,,2,7,7,Inactive - Decision Made,5,Pre-Construction Engineering and Design (PED),7,7,Survey and Geotech Characterization,3/23/2023 7:36 PM,0,138,Erin,Rooks,306,299,0,0,0
6,PLC-6,3544,Test A Project,000000,Test 24 Jan 2023 0909,Agency Policy and Process,7,"aen;vinaiovnain
afan eif'ju39 urh98yyu[[- j'co",1,Very Unlikely,Very Unlikely (5% to 30%),4 u[94d[9yu09t2j[9g=0-]v,,,14,Planning - Cultural Resources,PLC,1,William Blake,3,Human Health and Safety,,5,2,0,50,0,,0,800,0,,4,1,1,Active,7,Operations and Maintenance,22,22,Q1,1/24/2023 2:10 PM,0,138,Erin,Rooks,299,299,0,0,0
7,OPS-7,3544,Test A Project,000000,risk a,Contract Performance,4,writing description here,2,Unlikely,Unlikely (30% to 50%),,,,11,Operations,OPS,8653,,6,Compliance,,5,2,0,0,0,,0,350,0,writing evidence here,4,1,1,Active,5,Pre-Construction Engineering and Design (PED),9,9,Project Definition Phase (15%),1/31/2023 7:42 PM,0,138,Erin,Rooks,299,299,0,0,0
8,OTH-8,3544,Test A Project,000000,Test Save Measure,Site Conditions,6,Test Save Measure,2,Unlikely,Unlikely (30% to 50%),,,,12,Other,OTH,8653,,1,Asset Condition,,5,2,0,100000,0,,20,0,60,,2,1,1,Active,6,Construction,17,17,Notice to Proceed,5/25/2023 1:33 PM,0,8775,,,299,306,0,0,0
9,EHH-9,3544,Test A Project,000000,abc,Legal or Regulatory Actions,10,,2,Unlikely,Unlikely (30% to 50%),,,,4,Engineering - Hydrology and Hydraulics,EHH,486,,5,Other,,5,2,0,50,0,,0,5,0,,2,1,1,Active,6,Construction,18,18,Construction Start Date,2/27/2023 3:40 PM,0,138,Erin,Rooks,299,299,0,0,0
10,SAF-10,3544,Test A Project,000000,3/6 Test,Legal or Regulatory Actions,10,,1,Very Unlikely,Very Unlikely (5% to 30%),,,,24,Safety,SAF,486,,5,Other,,10,2,0,100000,0,,0,100,0,,2,1,1,Active,4,Planning,1,1,Project Initiation,3/7/2023 2:59 PM,0,8775,,,299,299,0,0,0
11,COM-11,3544,Test A Project,000000,ABC TEST risk,Communications,2,description,3,Likely,Likely (50% to 70%),,,,20,Public Affairs,COM,8653,,5,Other,,10,3,0,5000,0,,0,0,0,,0,1,1,Active,6,Construction,18,18,Construction Start Date,3/20/2023 2:25 PM,0,138,Erin,Rooks,299,299,0,0,1
12,EEL-12,3544,Test A Project,000000,test risk,Info and Data Analysis,1,description,3,Likely,Likely (50% to 70%),,,,7,Engineering - Electrical,EEL,138,,3,Human Health and Safety,,5,2,0,0,0,,0,50,0,,2,1,1,Active,6,Construction,18,18,Construction Start Date,4/17/2023 2:39 PM,0,138,Erin,Rooks,299,299,0,0,0
13,EEL-13,3544,Test A Project,000000,short desription,Communications,2,,2,Unlikely,Unlikely (30% to 50%),,,,7,Engineering - Electrical,EEL,1,William Blake,2,Environmental,,5,2,0,5000,0,,0,5,15,,2,1,1,Active,5,Pre-Construction Engineering and Design (PED),8,8,Design Start,3/30/2023 3:41 PM,0,138,Erin,Rooks,299,302,0,0,0
14,PLE-14,3544,Test A Project,000000,ABC,Contract Performance,4,afeae,2,Unlikely,Unlikely (30% to 50%),add later,,,15,Planning - Economics,PLE,2687,,2,Environmental,,10,3,0,0,50,gsrr,0,0,0,,0,1,1,Active,6,Construction,17,17,Notice to Proceed,4/17/2023 1:44 PM,0,138,Erin,Rooks,306,299,0,0,1
15,EGT-15,3544,Test A Project,000000,"Limited geotechnical investigation, limited data",Info and Data Analysis,1,"Different site conditions that could lead to increased costs, schedule, poor performance of infrastructure being built",3,Likely,Likely (50% to 70%),large levees over large geographical areas likely have different site conditions,,,3,Engineering - Geotechnical,EGT,1944,,4,Operations,,10,3,0,500000,0,,0,180,0,,4,1,1,Active,5,Pre-Construction Engineering and Design (PED),7,7,Survey and Geotech Characterization,4/17/2023 2:37 PM,0,138,Erin,Rooks,299,299,0,0,0
16,PRM-16,3544,Test A Project,000000,Test risk,"Stakeholder, Sponsor or Partners",9,description,3,Likely,Likely (50% to 70%),,,,17,Project Management,PRM,2687,,5,Other,,5,2,5000,7500,10000,,0,0,0,,0,1,1,Active,6,Construction,16,16,Construction Contract Award,5/19/2023 2:28 PM,0,138,Erin,Rooks,302,302,0,0,1
17,EPE-17,3544,Test A Project,000000,Add new risk,Legal or Regulatory Actions,10,description,3,Likely,Likely (50% to 70%),narrative,,,21,Construction - Project Engineer,EPE,138,,2,Environmental,,10,3,24999,50000,75000,,0,0,0,,0,1,1,Active,6,Construction,18,18,Construction Start Date,5/25/2023 1:27 PM,0,138,Erin,Rooks,302,302,0,0,1
18,EGT-18,3544,Test A Project,000000,test333,Info and Data Analysis,1,asdf,2,Unlikely,Unlikely (30% to 50%),asdf asdfa asdf ,,,3,Engineering - Geotechnical,EGT,8653,,1,Asset Condition,asdf,5,2,0,10000000,10000000000,asdf,0,300,500,asdf,4,1,1,Active,5,Pre-Construction Engineering and Design (PED),7,7,Survey and Geotech Characterization,5/31/2023 9:51 PM,0,9033,Chris,Dixon,302,302,0,0,0
19,OPS-19,3544,Test A Project,000000,Test 26 June 2023,Legislative or Political,8,Test description,4,Very Likely,Very Likely (70% to 90%),,,,11,Operations,OPS,138,,2,Environmental,,10,4,0,50,400,,0,0,0,,0,1,1,Active,6,Construction,16,16,Construction Contract Award,6/26/2023 4:54 PM,0,138,Erin,Rooks,302,299,0,0,1
1,EAI-1,3545,,,Shoreline placement of Rindge Dam impounded sediment mostly ,Communications,2,"Although the July 2016 field surveys did not identify surfgrass subtidally east of the pier, they could not be certain of that determination for the area less than 10-feet MLLW since the survey vessel could not obtain video in the shallow depths.  Subsequently, the sponsor, through visual surveys during low tide, confirmed surfgrass presence in small patches in a boulder field immediately downcoast of the Malibu Pier placement site.",5,Extremely Likely,Extremely Likely (90% to 100%),Proximity immediately downcoast of placement location,,,8,Engineering - Architectural and Interior,EAI,2331,,5,Other,,5,2,0,5000,0,"1. Halts shoreline placement of mostly sands.  2. Requires reformulation of placement strategy.  3. May require out of kind mitigation, including artificial reef construction with kelp planting.",0,0,0,,1,1,1,Active,4,Planning,1,1,Project Initiation,1/24/2023 2:10 PM,0,2331,Hamna,Zaheer,299,299,0,0,0
1,PLC-1,3552,,,Poor Planning Decision,Communications,2,Identify and rank study priorities. Develop study objectives based on these priorities.,2,Unlikely,Unlikely (30% to 50%),Alternatives have been formulated to specifically address the highest study priorities.,,,14,Planning - Cultural Resources,PLC,2331,,5,Other,"If study priorities are not accurately identified, the recommended plan may not address the most severe biological needs of the system.",10,3,0,5000,0,Study priorities are misidentified or ranked improperly.,50,0,100,,4,1,1,Active,4,Planning,2,2,Alternatives ,1/24/2023 1:22 PM,0,2331,Hamna,Zaheer,299,306,0,0,0
3,ECV-3,3552,,,Commodity growth rate projections and fleet forecast needed,Info and Data Analysis,1,"If future commodity or fleet projections are changed after modeling effort is complete, large schedule delays will occur because portion of modeling will need to be redone",3,Likely,Likely (50% to 70%),"The commodity growths rates drive the number of TEUs coming to the local ports, therefore, the number of vessels. Any change to the forecast would cause additional analysis and model runs.",,,9,Engineering - Civil,ECV,2331,,5,Other,"Vertical team acceptance of Commodity Growth rate projections & future fleet forecast Make no updates in the future.
Conduct Sensitivity Analysis at this point on the Commodity growth rates.",10,3,0,5000,0,,0,50,0,,4,1,1,Active,4,Planning,1,1,Project Initiation,1/24/2023 1:55 PM,0,2331,Hamna,Zaheer,299,299,0,0,0
1,EPE-1,3554,,,Climate change are uncertain and could construction,Info and Data Analysis,1,description,4,Very Likely,Very Likely (70% to 90%),,,,21,Construction - Project Engineer,EPE,8692,,7,Agency Reputational,,5,2,0,50000,0,,100,200,200,,4,1,1,Active,6,Construction,16,16,Construction Contract Award,1/25/2023 8:35 PM,0,138,Erin,Rooks,299,306,0,0,0
1,PLP-1,3555,St. Augustine Back Bay CSRM,479265,"3x3x3 Scope, Schedule, and Budget",Agency Policy and Process,7,"Due to the scope, and size and complexity of the study area, there is a risk to the study schedule and budget, and study may not reach a Chief's Report within 3-years of signing of the FCSA.",5,Extremely Likely,Extremely Likely (90% to 100%),,,,13,Planning - Plan Formulation,PLP,4614,,8,Agency Strategy,Project will not be 3x3 compliant,10,4,0,3000000,0,,0,1095,1095,,4,1,1,Active,4,Planning,2,2,Alternatives ,4/26/2023 4:06 PM,0,4614,Katherine,Bailey,299,299,0,0,0
2,PLC-2,3555,St. Augustine Back Bay CSRM,479265,Cultural Resources Surveys,Info and Data Analysis,1,"Cultural resources surveys will be needed depending on location and potential measures, ",2,Unlikely,Unlikely (30% to 50%),,,,14,Planning - Cultural Resources,PLC,8781,,5,Other,"If surveys are not completed, project design would have to be changed to mitigate potential impacts to existing cultural resources, resulting in increased budget and time delays",5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,3/14/2023 3:31 PM,0,4614,Katherine,Bailey,299,299,0,0,0
3,PLE-3,3555,St. Augustine Back Bay CSRM,479265,Environmental Surveys - Wetlands,Info and Data Analysis,1,Development of mitigation plan dependent on surveys to determine absence/presence and condition of existing wetlands. Survey spatial extent is dependent on TSP footprint. ,4,Very Likely,Very Likely (70% to 90%),Existing knowledge of wetland presence within the study area,,,16,Planning - Environmental,PLE,7848,,5,Other,"Potential impacts to environmental resources, changes to project design would be needed to mitigate impacts, resulting in increased budget and time delays",5,2,0,0,0,This item is included in the study budget,0,0,0,,0,1,1,Active,4,Planning,2,2,Alternatives ,4/4/2023 7:49 PM,0,4614,Katherine,Bailey,299,299,0,1,1
4,PLP-4,3555,St. Augustine Back Bay CSRM,479265,Future Development,Site Conditions,6,Assume all redevelopment is up to new standards,0,Extremely Unlikely,Extremely Unlikely (0% to 5%),,,,13,Planning - Plan Formulation,PLP,390,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,1,1,Project Initiation,3/14/2023 3:42 PM,0,4614,Katherine,Bailey,299,299,0,0,0
5,PLP-5,3555,St. Augustine Back Bay CSRM,479265,Existing Local Measures,Site Conditions,6,Degradation of existing seawalls,0,Extremely Unlikely,Extremely Unlikely (0% to 5%),,,,13,Planning - Plan Formulation,PLP,390,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,1,1,Project Initiation,3/14/2023 3:43 PM,0,4614,Katherine,Bailey,299,299,0,0,0
6,RLE-6,3555,St. Augustine Back Bay CSRM,479265,Real Estate Requirements,"Stakeholder, Sponsor or Partners",9,Public participation and acceptance of required standard estates. The number of stakeholders and property owners in the study area footprint is significant. Some private lands will likely be required for the project. Any real estate that can't be acquired without going to court could negatively impact the acquisition schedule.  ,3,Likely,Likely (50% to 70%),,,,18,Real Estate,RLE,8817,,5,Other,,10,3,0,1,0,,0,126,253,,3,1,1,Active,5,Pre-Construction Engineering and Design (PED),7,7,Survey and Geotech Characterization,4/26/2023 4:04 PM,0,4614,Katherine,Bailey,299,306,0,0,0
7,OTH-7,3555,St. Augustine Back Bay CSRM,479265,Inlet surge barrier alternative modeling,Info and Data Analysis,1,May need additional/high fidelity modeling for design of inlet closure alternatives,2,Unlikely,Unlikely (30% to 50%),"PDT can make well-informed assumptions on how inlet closure alternatives will perform based on existing models, subject to concurrence from vertical team",,,12,Other,OTH,390,,5,Other,Utilizing the high fidelity models would provide minor improvement to understanding of inlet closure alternatives,-5,1,50000,0,100000,,0,365,365,,4,1,1,Active,4,Planning,2,2,Alternatives ,4/26/2023 3:50 PM,0,4614,Katherine,Bailey,306,299,0,0,0
8,PLP-8,3555,St. Augustine Back Bay CSRM,479265,Non-NED recommendation,"Stakeholder, Sponsor or Partners",9,Tentatively Selected Plan identified is not the NED plan,0,Extremely Unlikely,Extremely Unlikely (0% to 5%),,,,13,Planning - Plan Formulation,PLP,390,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,1,1,Project Initiation,3/20/2023 7:43 PM,0,4614,Katherine,Bailey,299,299,0,0,0
9,ECV-9,3555,St. Augustine Back Bay CSRM,479265,Changes in Engineering Modeling Scope,Info and Data Analysis,1,"The schedule and budget have been created prior to the Initial Flood Driver Screening for the study area results. These results will inform the path forward for addressing compound flood hazards (surge, rainfall, riverine with tides and SLC) or a more simplistic approach addressing surge with tides and SLC.

The scope and budget have been created assuming the most complex modeling scenario. ",3,Likely,Likely (50% to 70%),,,,9,Engineering - Civil,ECV,8814,,5,Other,The non-Federal sponsor has voiced concern regarding flood risk from rainfall and riverine sources. The team should work with the non-Federal sponsor for buy in of the surge with tide and SLC approach for cohesion moving forward.,5,2,-100000,-50000,0,This reduction in the modeling scope would reduced the schedule and budget of the study. ,-255,0,0,This reduction in the modeling scope would reduced the schedule and budget of the study. ,1,1,1,Active,4,Planning,1,1,Project Initiation,3/23/2023 12:26 PM,0,8814,Michelle,Vieira,306,306,0,0,0
11,PLP-11,3555,St. Augustine Back Bay CSRM,479265,Update to WRDA 2022 Implementation Guidance,Info and Data Analysis,1,"The publication of WRDA 2022 implementation guidance could cause the study to change the engineering and economic modeling approach.

""WRDA 2022 S8106 would allow for study scopes to expand in two ways: (1) expand coastal storm and inland flood feasibility studies to incorporate other flood risk (e.g., due to erosion, tides, rainfall, subsidence, groundwater emergence), and (2) expand feasibility studies to include water supply, water conservation, and measures to reduce water resource impacts of extreme weather events, including drought.""

https://www.usace.army.mil/Missions/Civil-Works/Project-Planning/Legislative-Links/WRDA-2022/",3,Likely,Likely (50% to 70%),,,,13,Planning - Plan Formulation,PLP,390,,5,Other,,10,3,0,0,500000,"Publication of implementation guidance could effect engineering and economic modeling, scope, schedule, and budget.",0,0,365,"Publication of implementation guidance could effect engineering and economic modeling, scope, schedule, and budget.",3,1,1,Active,4,Planning,1,1,Project Initiation,4/26/2023 4:07 PM,0,8814,Michelle,Vieira,306,306,0,0,0
12,PLE-12,3555,St. Augustine Back Bay CSRM,479265,Risk Reduction and Economic Benefits Beyond Study Area,Info and Data Analysis,1,"Due to the nature of the City of St. Augustine municipal boundary and the surrounding water bodies, it is likely that risk reduction and economic benefits will occur outside of the study area (dependent on PSE).",4,Very Likely,Very Likely (70% to 90%),,,,15,Planning - Economics,PLE,162,,5,Other,It will be imperative to the study to understand the total benefits to the the study area and surrounding areas to accurately capture a BCR. This may also include using best engineering judgement to determine benefit extends (PSE of a surge barrier for example) without high fidelity modeling.,-10,1,0,0,0,,0,0,0,,0,1,1,Active,4,Planning,1,1,Project Initiation,3/23/2023 1:11 PM,0,8814,Michelle,Vieira,299,299,0,1,1
13,PLE-13,3555,St. Augustine Back Bay CSRM,479265,CBRA Compliance,Agency Policy and Process,7,The USFWS may not consider several alternatives to be compliant with the Coastal Barrier Resource Act (CBRA). There are two CBRA system units within the study area. ,3,Likely,Likely (50% to 70%),,,,16,Planning - Environmental,PLE,390,,8,Agency Strategy,,10,3,50000,100000,150000,,90,180,270,,3,1,1,Active,4,Planning,1,1,Project Initiation,4/20/2023 12:37 PM,0,390,Martin,Durkin,302,302,0,0,0
