"PROJECT_ID","PROJECT_NAME","PROJECT_NAME_1","P2_SUB_IDENTIFIER","RISK_ID","RISK_IDENTIFIER","RISK_TREATMENT_ID","RISK_TREATMENT_IDENTIFIER","RISKOWNERDISCIPLINE","RISKTREATMENTTYPE","PROPOSED_RISK_TREATMENT","COST_IMPACT_RISK_TREATMENT","SCHEDULE_IMPACT_RISK_TREATMENT","RECOMMENDED_BY_PDT","IMPLEMENTED","LOCKSTATUS","EDITDATE"
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",10,"ECS-10",3,"ECS-10-3","Engineering - Cost","Prevention","The project delivery team presented the initial array of alternatives in conformance with USACE guidance and standards and a proposed plan to screen to a focused array of alternatives. This plan included the utilization of data from the 2015 Donaldsonville to the Gulf Study HEC-FDA modeling which contained estimated annual damages for reaches where the project delivery team proposes the use of structural features. Estimated annual damages were indexed to 2024 estimated costs in order to determine affordability. Rough order of magnitude costs were compiled for the proposed structural features based on other USACE authorized projects occurring adjacent to the study area. The results indicated that most structural features were not justifiable based on National Economic Development alone. The vertical team determined that the risk associated with the assumptions of the project delivery team’s evaluation was high due to the use of existing modeling data. As a result, the initial array of ",3800000,561,0,0,0,04-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",10,"ECS-10",4,"ECS-10-4","Engineering - Cost","Prevention","Based on feedback provided by the vertical team at the alternatives milestone meeting, the project delivery team will forgo screening any alternatives and will compile new estimated annual damages. The team will be completing new hydrologic and economic modeling for the final array of alternatives. The project delivery team presented costs and durations to the non-federal sponsor. Costs and durations to achieve plan selection are included in part 11 of this memorandum. A tiered approach to show the cost in part 11, to estimate how much the study would spend at various phases of the study and how that estimated study cost could change with various selected plans to be fully evaluated. The sponsor acknowledges these costs and agrees to continue participating in the study.",1400000,561,0,1,0,04-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",5,"EGT-5",7,"EGT-5-7","Engineering - Geotechnical","Avoidance","It was considered to forgo borings and surveys during feasibility level design. This was considered unacceptable when considering its impact on the implementation of structural or nature-based features, if part of the recommended plan. ",0,0,0,0,0,06-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",5,"EGT-5",5,"EGT-5-5","Engineering - Geotechnical","Prevention","It was considered if existing borings and survey data could be used in lieu of collecting new data. As requested by the non-federal sponsor (CPRA) during the alternatives milestone meeting, the project delivery team evaluated existing data from previous USACE studies as well as data made available by CPRA and the Lafitte Independent Levee District. The purpose of this review was to determine if study costs could be reduced through the use of existing borings and survey data. The data review concluded on 12 January 2024. It was determined that existing geotechnical data made available by the Lafitte Independent Levee District did not conform with USACE standards. Data collected from previous USACE studies could be used as supplemental data for the study but should not substitute the proposed number of borings in the PMP estimate.  ",0,0,0,0,0,06-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",5,"EGT-5",6,"EGT-5-6","Engineering - Geotechnical","Prevention","It was considered whether the proposed number of borings could be reduced for feasibility level design. This was considered unacceptable due the various soil profiles in the study area.  ",0,0,0,0,0,06-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",5,"EGT-5",8,"EGT-5-8","Engineering - Geotechnical","Prevention","The project delivery team completed a what-if analysis to evaluate the level of effort needed for the evaluation of structural alternatives versus non-structural alternatives. As expected, the study costs are much higher for structural alternatives due to the level of geotechnical investigations now required for feasibility studies.",1489000,210,1,0,0,06-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",3,"PLP-3",1,"PLP-3-1","Planning - Plan Formulation","Prevention","It was considered how the community would react to providing risk management features in isolated reaches of the study area.  ",0,0,0,0,0,06-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",3,"PLP-3",2,"PLP-3-2","Planning - Plan Formulation","Prevention","The project delivery team plans to further explore the community’s acceptance of segmented structural features during upcoming scoping meetings. If a plan based on maximum total net benefits is selected at the TSP milestone an NED exception would be requested at the time of the TSP milestone. ",0,0,1,0,0,06-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",8,"PLP-8",1,"PLP-8-1","Planning - Plan Formulation","Prevention","If the nonstructural plan is selected as the recommended plan, it is likely that the landowners will comment during the draft report review process.",0,0,0,0,0,06-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",8,"PLP-8",2,"PLP-8-2","Planning - Plan Formulation","Prevention","If a structural or nature-based alternative is selected as the recommended plan, it is likely that right of entry could be used to estimate unwilling landowners. ",0,0,0,0,0,06-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",8,"PLP-8",3,"PLP-8-3","Planning - Plan Formulation","Prevention","If nonstructural measures are in the TSP, comments from the public will be considered regarding the willingness of private landowners to participate. Also, during feasibility design, right of entry for investigation purposes will be requested to for any nonstructural measures proposed. The acceptability of right of entry forms will be used to estimate the landowner willingness to participate in the recommended plan.",0,0,1,0,0,06-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",1,"PLP-1",1,"PLP-1-1","Planning - Plan Formulation","Prevention","The PDT is uncertain if flood risk management applies to the Lafitte study area specifically since most of the urban drainage is anticipated to be outside of the federal authority. The PDT will review the stud focus area with OC to determine if flood risk management should be considered.",0,0,1,0,0,07-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",12,"PLN-12",1,"PLN-12-1","Planning - Environmental","Prevention","Early coordination was initiated with the agencies to discuss the study schedule and identify any potential delays that may occur for the completion of the final report. ",0,0,0,0,0,06-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",12,"PLN-12",2,"PLN-12-2","Planning - Environmental","Prevention","Additional time has been considered for the completion of surveys and for the interagency review of the Coordination Act Report. Proposed schedule extensions at the TSP milestone and final report milestones for the evaluation of alternatives satisfy the agency’s need for additional time. ",0,0,1,0,0,06-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",7,"RLE-7",1,"RLE-7-1","Real Estate","Prevention","It was considered if nonstructural features could be implemented through existing non-standard estate agreements at the time of plan selection. There are several non-standard estates plans for feasibility studies ongoing in proximity to the study area such as the St. Tammany Parish Feasibility Study or the Southwest Coastal Louisiana Feasibility Study. Southwest Coastal is currently in construction and received an approved non-standard estate agreement in January 2024. The team assumes that if existing non-standard estates could be extrapolated from other studies, durations would not be extended. ",0,0,0,0,0,06-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",7,"RLE-7",2,"RLE-7-2","Real Estate","Prevention","It was considered whether a project-specific non-standard estate should be developed for this study. This would require a similar duration to what is proposed for structural alternatives development. ",0,0,0,0,0,06-MAR-24
4373,"Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","Lafitte Area Flood and Coastal Storm Risk Management Feasibility Study","",7,"RLE-7",3,"RLE-7-3","Real Estate","Prevention","The PDT will assume that a project-specific non-standard estate will be developed, and that the duration would be similar to that of a structural alternative. Early and ongoing communication will be completed with the vertical team regarding non-standard estates. ",0,210,1,0,0,06-MAR-24
2126,"Amite River and Tributaries - East of the MS River Analysis","Amite River and Tributaries - East of the MS River Analysis","",2,"PLP-2",1,"PLP-2-1","Planning - Plan Formulation","Transfer/Share"," 1) Mitigation will be documentation in the revised draft report the rationale of moving forward with the LPP and performing the EJ outreach meetings and surveys. 2) Request professional judgement opinion from FRM-PCX and/or RMC regarding the technical acceptability of the dam construction (i.e.. engineers that is not technically feasible because of Geotech concerns). 3)NS TSP selection ensure documentation in risk register regarding implementation concerns for disadvantage communities/population. 4) Vertically align on associated policy concerns. 5)Full vertical alignment with integrated policy and legal compliant review team (P&LCRT).6) HQ Functional Leads concurrence on path forward ",0,240,1,0,0,02-JUN-23
2126,"Amite River and Tributaries - East of the MS River Analysis","Amite River and Tributaries - East of the MS River Analysis","",3,"PRM-3",1,"PRM-3-1","Project Management","Transfer/Share","CEMVD is requesting additional time and money Exemption for study reformulation to include further evaluation of EJ on the Darlington dam as well as reevaluating the nonstructural only plan using different aggregation criteria to better assess the 4 P&G accounts. As a result, there is the possibility of a Locally Preferred Plan (LPP) or a revised NED Plan that may qualify under a Categorical Exemption.
Risk Register : Amite River & Tributaries - Comprehensive Study East of the Mississippi River, LA Flood Risk Management Feasibility Study
1 """,1910000,720,1,1,0,28-NOV-23
4279,"TEST Wild Rice Habitat Redevelopment","TEST Wild Rice Habitat Redevelopment","",1,"OTH-1",2,"OTH-1-2","Other","Prevention","Proposed risk response 2",6000,22,0,0,0,07-NOV-23
4279,"TEST Wild Rice Habitat Redevelopment","TEST Wild Rice Habitat Redevelopment","",1,"OTH-1",1,"OTH-1-1","Other","","Proposed Risk Response entry",10000,99,1,0,0,07-NOV-23
4279,"TEST Wild Rice Habitat Redevelopment","TEST Wild Rice Habitat Redevelopment","",2,"PLN-2",2,"PLN-2-2","Planning - Environmental","Avoidance","Plant the wild rice anyways",20000,90,0,0,0,07-NOV-23
4279,"TEST Wild Rice Habitat Redevelopment","TEST Wild Rice Habitat Redevelopment","",2,"PLN-2",1,"PLN-2-1","Planning - Environmental","","Dredge area deeper so water temperatures can support wild rice.",80000,360,0,0,0,07-NOV-23
4165,"NESP - Ecosystem Program","NESP - Ecosystem Program","",2,"PRM-2",1,"PRM-2-1","Project Management","Prevention","This is an avoidable risk through congressional education; ecosystem funding will require continued funding; some $60M / year (about double the current $30M / year required for steady state ecosystem investment).  The potential for litigation carries possible significant schedule impacts. ",200000,365,0,0,0,24-OCT-23
4165,"NESP - Ecosystem Program","NESP - Ecosystem Program","",1,"PGM-1",1,"PGM-1-1","Programs Management","Transfer/Share","The team accepts this risk, as it is dependent on year to year Congressional appropriations. ",93500000,300,0,0,0,03-OCT-23
4135,"Lee County Conservation Board CAP Sec 204","Lee County Conservation Board CAP Sec 204","",3,"EGT-3",1,"EGT-3-1","Engineering - Geotechnical","Prevention","We will accept the risk during Feasibility and gather more data during design. ",0,0,1,0,0,06-SEP-23
4135,"Lee County Conservation Board CAP Sec 204","Lee County Conservation Board CAP Sec 204","",2,"ECV-2",1,"ECV-2-1","Engineering - Civil","Prevention","Team is collecting limited survey to help refine quantities. The project measures will use conservative values to establish cost and quantities for the TSP. Analysis of the difference between the current and historic survey information will help reduce risk. ",25000,0,1,1,0,06-SEP-23
4135,"Lee County Conservation Board CAP Sec 204","Lee County Conservation Board CAP Sec 204","",4,"OPS-4",1,"OPS-4-1","Operations","","Working with H&H and Forester, we will design the project to an elevation that will allow us to achieve successful vegetation. A cover crop planting would follow capping of dredged material to support colonization during the first growing season.",0,0,1,1,0,09-JAN-24
4135,"Lee County Conservation Board CAP Sec 204","Lee County Conservation Board CAP Sec 204","",5,"PLN-5",2,"PLN-5-2","Planning - Environmental","Transfer/Share","Accept that major flooding impacts (unmodeled) may occur on the project footprint and communicate potential outcomes with the Sponsor.",0,0,1,0,0,29-SEP-23
4135,"Lee County Conservation Board CAP Sec 204","Lee County Conservation Board CAP Sec 204","",5,"PLN-5",3,"PLN-5-3","Planning - Environmental","Transfer/Share","Continue to model site conditions without additional data or flooding models (H&H), assuming for normal flood years across all alternatives. ",0,0,1,0,0,29-SEP-23
4135,"Lee County Conservation Board CAP Sec 204","Lee County Conservation Board CAP Sec 204","",5,"PLN-5",1,"PLN-5-1","Planning - Environmental","","Include some topographic diversity, increased design elevations, and other design features as needed for contingency to a flood event. This response would allow for multiple habitat sources for fish and wildlife species.",50000,15,0,0,0,29-SEP-23
4135,"Lee County Conservation Board CAP Sec 204","Lee County Conservation Board CAP Sec 204","",1,"PRM-1",1,"PRM-1-1","Project Management","Transfer/Share","This is an unavoidable option that would require termination of the project.",550000,300,0,0,0,01-SEP-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",34,"EGT-34",1,"EGT-34-1","Engineering - Geotechnical","Prevention","Risk could be reduced by collecting soil/groundwater samples early in the project phase.  Good engineering judgment and contingencies can also be used to reduce risk.",0,0,0,0,0,11-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",12,"EHH-12",1,"EHH-12-1","Engineering - Hydrology and Hydraulics","Avoidance","On time delivery.",0,0,0,0,0,03-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",16,"EHH-16",1,"EHH-16-1","Engineering - Hydrology and Hydraulics","Avoidance","Request survey of the study area. 
",0,0,0,0,0,09-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",19,"EHH-19",1,"EHH-19-1","Engineering - Hydrology and Hydraulics","Avoidance","Design of the hydraulic model is based on this criteria.",0,0,0,0,0,09-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",13,"EHH-13",1,"EHH-13-1","Engineering - Hydrology and Hydraulics","Avoidance","QC on the model assuring this remain true and consistent.",0,0,0,0,0,07-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",25,"EHH-25",1,"EHH-25-1","Engineering - Hydrology and Hydraulics","Prevention","On time delivery.
",0,0,0,0,0,10-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",22,"EHH-22",1,"EHH-22-1","Engineering - Hydrology and Hydraulics","Prevention","Adjust the existing conditions models with corrections for comparison purposes only.  The final models during the design phase of the project could show differences from the original FEMA models.",0,0,0,0,0,09-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",18,"EHH-18",1,"EHH-18-1","Engineering - Hydrology and Hydraulics","Transfer/Share","Place the pools, riffles, and runs into the model now.  ",0,0,0,0,0,09-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",17,"EHH-17",1,"EHH-17-1","Engineering - Hydrology and Hydraulics","Transfer/Share","Civil Design completes the measured quantities.",0,0,0,0,0,09-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",21,"EHH-21",1,"EHH-21-1","Engineering - Hydrology and Hydraulics","Transfer/Share","Adjust the existing conditions models with with corrections for comparison purposes only.  The final models during the design phase of the project could show differences from the original FEMA models.",0,0,0,0,0,09-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",15,"EHH-15",1,"EHH-15-1","Engineering - Hydrology and Hydraulics","Transfer/Share","Tolerate the risk.",0,0,0,0,0,09-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",20,"EHH-20",1,"EHH-20-1","Engineering - Hydrology and Hydraulics","Transfer/Share","Prevent the 1% chance flood elevation from rising.",0,0,0,0,0,09-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",30,"ECV-30",1,"ECV-30-1","Engineering - Civil","Prevention","Risk could be reduced by placing higher contingencies for cut/fill quantities.
",0,0,0,0,0,11-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",27,"ECV-27",1,"ECV-27-1","Engineering - Civil","Prevention","Risk could be reduced by having a utility coordination meeting with all applicable utility companies.  Good engineering judgment and contingencies can also be used to reduce risk.
",0,0,0,0,0,11-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",26,"ECV-26",1,"ECV-26-1","Engineering - Civil","Prevention","Risk could be reduced by having a utility coordination meeting with all applicable utility companies.  Good engineering judgment and contingencies can also be used to reduce risk.",0,0,0,0,0,11-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",4,"OPS-4",1,"OPS-4-1","Operations","Avoidance","Refine unknown with greatest consequence ratings to reduce risk.",0,30,0,0,0,29-JUN-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",11,"OPS-11",1,"OPS-11-1","Operations","Transfer/Share","If concerns with surveys/data present themselves, seek support with SARA.",0,0,0,0,0,03-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",9,"PLP-9",1,"PLP-9-1","Planning - Plan Formulation","Prevention","Consistently work in tandem with environmental planners to keep recreation plans current to scope/appropriateness.",0,0,0,0,0,20-JUL-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",42,"PLC-42",1,"PLC-42-1","Planning - Cultural Resources","Prevention","suggest that cultural resources surveys be undertaking immediately upon the start of the PED phase to minimize the impact to the overall schedule.",0,0,0,1,0,30-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",7,"PLN-7",1,"PLN-7-1","Planning - Environmental","Prevention","Cycle each observer through each creek or reference reach during the course of the sampling season so that each observer samples each creek with the same effort.  Rotate data collection personnel with avian observers.   Utilize the same observers and recorders when possible.",0,0,0,0,0,20-JUL-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",8,"PLN-8",1,"PLN-8-1","Planning - Environmental","","Conduct fall survey to capture fall migrant data.
",0,0,0,0,0,20-JUL-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",36,"RLE-36",1,"RLE-36-1","Real Estate","Prevention","Early knowledge of utility relocations ",0,0,0,0,0,11-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",37,"RLE-37",1,"RLE-37-1","Real Estate","Prevention","Early detection of project features importation",0,0,0,0,0,11-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",40,"RLE-40",1,"RLE-40-1","Real Estate","Prevention","Define specific work on the TXDOT ROW early.  Check on any existing agreements TXDOT have with the City of San Antonio for O&M purposes in the creeks.  Early detection of instruments required from TXDOT in their road ROW.
",0,0,0,0,0,14-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",39,"RLE-39",1,"RLE-39-1","Real Estate","Prevention","Define specific work on the RRs ROW early.  Check on any existing agreements the RRs have with the City of San Antonio for O&M purposes in the creeks.  Early detection of instruments required from the RRs in their road ROW.
",0,0,0,0,0,14-AUG-23
3911,"Andalusia Island Complex","Andalusia Island Complex","",10,"COM-10",1,"COM-10-1","Public Affairs","Transfer/Share","If concerns with surveys/data present themselves, seek support with SARA.
",0,0,0,0,0,03-AUG-23
4311,"NESP Lock and Dam 25 New 1,200 ft Lock","NESP Lock and Dam 25 New 1,200 ft Lock","",1,"EGT-1",1,"EGT-1-1","Engineering - Geotechnical","Prevention","The team is working to procure the services from an external entity such as USBR, ERDC or AE. ",0,0,1,1,0,14-NOV-23
4311,"NESP Lock and Dam 25 New 1,200 ft Lock","NESP Lock and Dam 25 New 1,200 ft Lock","",4,"PRM-4",1,"PRM-4-1","Project Management","Prevention","Utilization of the IDaC methodology integrates the contractor into the design so USACE can properly collaborate between the end-user, the contractor and the designers. ",20000000,0,1,0,0,14-NOV-23
4311,"NESP Lock and Dam 25 New 1,200 ft Lock","NESP Lock and Dam 25 New 1,200 ft Lock","",2,"PRM-2",1,"PRM-2-1","Project Management","Transfer/Share","There is no cost effective way to mitigate for this risk because the mitigation itself is the involvement of the IDaC contractor.",0,0,1,1,0,14-NOV-23
4331,"LaGrange New 1200-Foot Lock","LaGrange New 1200-Foot Lock","",1,"ECV-1",1,"ECV-1-1","Engineering - Civil","Prevention","Build the cofferdam to 100 year Elevation. ",1000000,0,0,0,0,20-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",16,"EGT-16",1,"EGT-16-1","Engineering - Geotechnical","Avoidance","1. Accept Risk
2. Extend treatment area",0,0,0,0,0,01-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",2,"EGT-2",1,"EGT-2-1","Engineering - Geotechnical","Avoidance","Pool restrictions",0,0,0,0,0,31-OCT-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",2,"EGT-2",2,"EGT-2-2","Engineering - Geotechnical","Avoidance","Platforms",0,0,0,0,0,31-OCT-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",2,"EGT-2",3,"EGT-2-3","Engineering - Geotechnical","Avoidance","Weighted Drilling Fluid",0,0,0,0,0,31-OCT-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",2,"EGT-2",4,"EGT-2-4","Engineering - Geotechnical","Avoidance","Seasonal restrictions",0,0,0,0,0,31-OCT-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",15,"EGT-15",1,"EGT-15-1","Engineering - Geotechnical","Avoidance","1. Accept Risk
2. More Conservatively Design the relief wells",0,0,0,0,0,01-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",3,"EGT-3",1,"EGT-3-1","Engineering - Geotechnical","Avoidance","1. Pool restrictions
2. Platforms
3. Weighted drilling fluid
4. Seasonal Restrictions",0,0,0,0,0,01-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",4,"EGT-4",1,"EGT-4-1","Engineering - Geotechnical","Avoidance","1. Pool Restrictions
2. Additional Dewatering
3. Seasonal Restrictions",0,0,0,0,0,01-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",7,"ECV-7",1,"ECV-7-1","Engineering - Civil","Avoidance","1. Preliminary Investigations",0,0,0,0,0,01-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",8,"ECV-8",1,"ECV-8-1","Engineering - Civil","Avoidance","1. Early coordination with water management and Operations",0,0,0,0,0,01-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",1,"ECV-1",1,"ECV-1-1","Engineering - Civil","Avoidance","Utilities survey",1,1,0,0,0,23-AUG-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",1,"ECV-1",2,"ECV-1-2","Engineering - Civil","Avoidance","Seek data from Operations",1,1,0,0,0,23-AUG-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",6,"ECV-6",1,"ECV-6-1","Engineering - Civil","Avoidance","1. Pool Restrictions
2. Seasonal Restrictions",0,0,0,0,0,01-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",9,"OPS-9",1,"OPS-9-1","Operations","Avoidance","1. Early coordination with water management and Operations",0,0,0,0,0,01-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",22,"PLP-22",1,"PLP-22-1","Planning - Plan Formulation","Prevention","1. Quantitative update to the consequences analysis
",0,0,0,0,0,16-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",22,"PLP-22",2,"PLP-22-2","Planning - Plan Formulation","Transfer/Share","2. Qualitative update to the consequences analysis.",0,0,1,1,0,16-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",13,"PLC-13",1,"PLC-13-1","Planning - Cultural Resources","Avoidance","1. Perform cultural resources investigation during design
2. Monitor during construction",0,0,0,0,0,01-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",13,"PLC-13",2,"PLC-13-2","Planning - Cultural Resources","Avoidance","1. Perform cultural resources investigation during design
2. Monitor during construction",0,0,0,0,0,01-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",19,"PLN-19",1,"PLN-19-1","Planning - Environmental","Avoidance","Accept Risk
",0,0,0,0,0,16-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",20,"PLN-20",2,"PLN-20-2","Planning - Environmental","Avoidance","Initial investigations",0,0,1,0,0,16-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",21,"PLN-21",1,"PLN-21-1","Planning - Environmental","Transfer/Share","Monitor",0,0,1,0,0,16-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",20,"PLN-20",1,"PLN-20-1","Planning - Environmental","Transfer/Share","Accept Risk
",0,0,0,0,0,16-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",17,"PRM-17",1,"PRM-17-1","Project Management","Avoidance","Structure construction contract to address possible continuing resolutions
",0,0,0,0,0,15-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",17,"PRM-17",2,"PRM-17-2","Project Management","Transfer/Share","Accept the risk during feasibility and PED.",0,30,1,1,0,15-NOV-23
4113,"Wappapello Dam - Dam Safety Modification Study","Wappapello Dam - Dam Safety Modification Study","",18,"PGM-18",1,"PGM-18-1","Programs Management","Transfer/Share","Accept the risk because it is beyond PDT control.",0,0,1,1,0,15-NOV-23
4071,"DRSAA 22 Tangipahoa Parish FRM","DRSAA 22 Tangipahoa Parish FRM","",12,"ECS-12",1,"ECS-12-1","Engineering - Cost","Transfer/Share","Coordinate with PDT on a regular basis for alternatives analysis and feasibility level design to ensure costs can be well informed.",0,0,0,0,0,16-AUG-23
4071,"DRSAA 22 Tangipahoa Parish FRM","DRSAA 22 Tangipahoa Parish FRM","",40,"EHH-40",1,"EHH-40-1","Engineering - Hydrology and Hydraulics","Avoidance","Due to the size of the parish, the PDT has determined that the current level of detail is acceptable.",0,0,1,1,0,21-AUG-23
4071,"DRSAA 22 Tangipahoa Parish FRM","DRSAA 22 Tangipahoa Parish FRM","",38,"EHH-38",1,"EHH-38-1","Engineering - Hydrology and Hydraulics","Avoidance","The PDT determined that because of the compound flooding zone size and economic analysis of damage impacts that a less costly approach can be taken.  Compound Flooding analysis completed 5/2023",0,0,1,1,0,21-AUG-23
4071,"DRSAA 22 Tangipahoa Parish FRM","DRSAA 22 Tangipahoa Parish FRM","",39,"EHH-39",1,"EHH-39-1","Engineering - Hydrology and Hydraulics","Avoidance","Researched if portions of the bridge survey data for the stream network is being completed by contractor and acquire as portions are collected.  If alternatives near certain bridges are discussed, a closer look into modeling that bridge will be taken.  Because of the shear number of bridges inclusion is not really feasible.  Bridges are not modeled in HEC-RAS for a large potion of the study area.",0,0,1,1,0,21-AUG-23
4071,"DRSAA 22 Tangipahoa Parish FRM","DRSAA 22 Tangipahoa Parish FRM","",41,"EHH-41",1,"EHH-41-1","Engineering - Hydrology and Hydraulics","Transfer/Share","Determined this is not a risk.  Included for purposes of documentation.  If possible, support a parish wide warning system.",0,0,1,1,0,21-AUG-23
4071,"DRSAA 22 Tangipahoa Parish FRM","DRSAA 22 Tangipahoa Parish FRM","",42,"EHH-42",1,"EHH-42-1","Engineering - Hydrology and Hydraulics","Transfer/Share","Determined this is not a risk, but is a concern of the Parish.  ",0,0,1,1,0,21-AUG-23
